episode,probe_kind,method,operator_kind,rank,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rho_operator_to_T,basis_source,rank_selection,selection_alpha,tau_rank,nominal_rank,response_basis_probe_kind,control,actlr_fit_probe_kind
0,isotropic,raw,galerkin_main,6,0.008509888746080706,0.0036522821834902484,0.01173794347675546,0.32630008451729703,0.3223169953447289,0.043705496521061774,1.048418954358664,0.9999999999999942,0.3074314843359431,0.043705496521018315,0.9054858824389987,0.9980898295738513,0.02389891671065722,0.0018356770883213268,raw,first_rho_le_alpha,0.05,10,6,,,
0,isotropic,resp,galerkin_main,6,0.008509888746080706,0.0006165496106201605,0.008863634539338477,0.32630008451729703,0.32777139542549316,0.05776528546413125,1.048418954358664,0.9999999999999942,0.31263398478491256,0.05776528546407381,0.902259991557507,0.9966631717952541,-0.11353159008290527,0.003059676937813602,response,first_rho_le_alpha,0.05,20,6,label,,
0,isotropic,raw_euclidean,galerkin_control,6,0.008509888746080706,0.004212568197219528,0.012473531057708018,0.32630008451729703,0.32221343440290046,0.04593336518772232,1.048418954358664,0.9999999999999942,0.3073327061314879,0.04593336518767665,0.9055466077418965,0.9978901259625356,0.0182554434705203,0.002013078387930903,raw,,,,6,,euclidean_svd,
0,isotropic,resp_euclidean,galerkin_control,6,0.008509888746080706,0.000610303019983203,0.00893743779583714,0.32630008451729703,0.33230835658082847,0.07285587252164065,1.048418954358664,0.9999999999999942,0.31696141623440055,0.07285587252156821,0.8995354606186831,0.994692021839121,-0.19134327560362172,0.004768753886943257,response,,,,6,label,euclidean_svd,
0,isotropic,raw_random,galerkin_control,6,0.008509888746080706,0.16797160705949984,0.1678797267738162,0.32630008451729703,7.486969226059921,7.48479915625265,1.048418954358664,0.9999999999999942,7.141199798922644,7.484799156245208,-49.99673456813281,-55.02221840932897,-0.9990500538901713,92.68253162044888,raw,,,,6,,random_A_orthonormal,
0,isotropic,resp_random,galerkin_control,6,0.008509888746080706,0.43884848646701186,0.4313160699886137,0.32630008451729703,7.457556185890063,7.459789178626364,1.048418954358664,0.9999999999999942,7.113145136187342,7.459789178618947,-49.59683372846563,-54.64845458944034,-0.999043112349716,114.00577289436757,response,,,,6,label,random_A_orthonormal,
0,isotropic,raw_poly_y,galerkin_control,2,0.008509888746080706,0.35299224638620963,0.35181276852195303,0.32630008451729703,0.9854889190659907,0.9353870227756035,1.048418954358664,0.9999999999999942,0.9399762518294905,0.9353870227746734,0.11644464599658222,0.12505111762473253,-0.9436103181618973,389.2774276626073,raw,,,,6,,single_seed_polynomial_y,
0,isotropic,resp_poly_y,galerkin_control,2,0.008509888746080706,0.35299224638620963,0.35181276852195303,0.32630008451729703,0.9854889190659907,0.9353870227756035,1.048418954358664,0.9999999999999942,0.9399762518294905,0.9353870227746734,0.11644464599658222,0.12505111762473253,-0.9436103181618973,389.2774276626073,response,,,,6,label,single_seed_polynomial_y,
0,isotropic,raw_shuffled_labels,galerkin_control,6,0.008509888746080706,0.016644745884824518,0.02413119855624281,0.32630008451729703,0.7742279473072053,0.5296917640946006,1.048418954358664,0.9999999999999942,0.7384719096194474,0.5296917640940739,0.45465923870300673,0.719426635050908,-0.9430949114800292,0.33357299337869933,raw,,,,6,,shuffled_labels,
0,isotropic,resp_shuffled_labels,galerkin_control,6,0.008509888746080706,0.0019351203405080562,0.00999109406380311,0.32630008451729703,0.33700306107704964,0.14688538357724573,1.048418954358664,0.9999999999999942,0.32143930599087533,0.14688538357709968,0.8966767725641044,0.9784246840914083,-0.2896379461270389,0.020102971896866138,response,,,,6,label,shuffled_labels,
0,isotropic,raw_shuffled_Kt,galerkin_control,6,0.008509888746080706,3.9493401366143015,3.952338385491236,0.32630008451729703,108.39071571508914,108.20741264276818,1.048418954358664,0.9999999999999942,103.38492571539803,108.20741264266059,-10687.442865178367,-11707.844150819023,-0.9999968934383214,14451.079103879289,raw,,,,6,,shuffled_Kt,
0,isotropic,resp_shuffled_Kt,galerkin_control,6,0.008509888746080706,4.026728462516876,4.029650177203076,0.32630008451729703,109.82971288137622,109.65232376630325,1.048418954358664,0.9999999999999942,104.75746592015422,109.65232376619423,-10973.126666012273,-12022.632107326284,-0.9999968859782192,14759.451263674595,response,,,,6,label,shuffled_Kt,
