episode,probe_kind,eps,additivity_defect
0,isotropic,0.0001,0.02348638159334266
0,isotropic,0.0003,0.007430026104583805
0,isotropic,0.001,0.0023869214566666175
0,isotropic,0.003,0.001757846582452125
0,isotropic,0.01,0.00498713617786898
0,label,0.0001,0.003097513042064447
0,label,0.0003,0.001314302253831806
0,label,0.001,0.00032248402137715406
0,label,0.003,0.00013172010661247386
0,label,0.01,0.0002271635592077668
1,isotropic,0.0001,0.07321758893896473
1,isotropic,0.0003,0.02377209747280724
1,isotropic,0.001,0.007057484540212858
1,isotropic,0.003,0.0027730565640250154
1,isotropic,0.01,0.005132001353074393
1,label,0.0001,0.004637751353908785
1,label,0.0003,0.001946848428900728
1,label,0.001,0.0006351011132447652
1,label,0.003,0.0002115863840014108
1,label,0.01,0.0003694567180784065
2,isotropic,0.0001,0.01603351129941867
2,isotropic,0.0003,0.0057635096691267635
2,isotropic,0.001,0.0020476493558465587
2,isotropic,0.003,0.0013244161309395085
2,isotropic,0.01,0.003595287316149919
2,label,0.0001,0.0015299491584939103
2,label,0.0003,0.0004227251422361114
2,label,0.001,0.00011023425280462413
2,label,0.003,8.947438386275178e-05
2,label,0.01,0.00026298120195340557
3,isotropic,0.0001,0.024140069008694268
3,isotropic,0.0003,0.010687927347980847
3,isotropic,0.001,0.00347400041910153
3,isotropic,0.003,0.0013153641107470492
3,isotropic,0.01,0.0031265360585675593
3,label,0.0001,0.002953339618551742
3,label,0.0003,0.0011697668667426252
3,label,0.001,0.00039853629011227536
3,label,0.003,0.00013135898456256297
3,label,0.01,0.00024819100753923945
