episode,probe_kind,basis,rank,TQ_E_model_to_operator,actLR_E_model_to_operator,actLR_model_fit_gain,TQ_E_operator_to_T,actLR_E_operator_to_T,actLR_KRR_cost,TQ_rho_operator_to_T,actLR_rho_operator_to_T,actLR_rho_KRR_cost,TQ_X_use,actLR_X_use,TQ_X_sub,actLR_X_sub
0,isotropic,raw,6,0.3469065333450779,0.20063420934037188,0.14627232400470605,0.043705496521061774,0.27599227072531934,0.23228677420425758,0.0018356770883213268,0.11211482350119376,0.11027914641287243,0.8878026599593274,0.962470949875702,0.9980898295738513,0.9238282665000335
0,isotropic,response,6,0.3493026702966001,0.2060881037059452,0.1432145665906549,0.053872280656470935,0.2832961579330196,0.22942387727654867,0.002694946324847442,0.11902542254532596,0.11633047622047851,0.8862473784829183,0.9604028937384907,0.9970977773768762,0.9197432869005492
0,label,raw,6,0.016380983812731453,0.008977043928869008,0.007403939883862445,0.0019416463002454097,0.014265135869806662,0.012323489569561252,0.0018356770883213268,0.11211482350119376,0.11027914641287243,0.9997312639622598,0.9999192927316829,0.9999962300096448,0.9997965058986164
0,label,response,6,0.016735911744749303,0.009606481711948178,0.0071294300328011255,0.0023499430785754454,0.014427193850282046,0.0120772507717066,0.002694946324847442,0.11902542254532596,0.11633047622047851,0.999719492355536,0.9999075781477829,0.9999944777675275,0.9997918560776068
1,isotropic,raw,6,0.44150333278415094,0.28902443854185156,0.15247889424229938,0.07544136429774093,0.32923561615238106,0.2537942518546401,0.005803766669311045,0.1902044682379562,0.18440070156864516,0.8432176945189062,0.9328109955287177,0.9943086005529067,0.8916039090569753
1,isotropic,response,6,0.44251197105798207,0.2878299372231838,0.15468203383479828,0.04944083765569571,0.3119035839226568,0.2624627462669611,0.0025724968292844936,0.16861325060004495,0.16604075377076047,0.8425005209074568,0.9333652151519133,0.997555603571908,0.9027161543363936
1,label,raw,6,0.01680749744162431,0.00917429043805348,0.007633207003570831,0.002148945317077161,0.013044269833498965,0.010895324516421804,0.005803766669311045,0.1902044682379562,0.18440070156864516,0.9997204554874624,0.9999167105808281,0.9999953820340243,0.9998298470245112
1,label,response,6,0.016638157979397165,0.008948417142351775,0.00768974083704539,0.0015525047057265682,0.012362364276407052,0.010809859570680484,0.0025724968292844936,0.16861325060004495,0.16604075377076047,0.9997260600633129,0.9999207613065286,0.9999975897291387,0.9998471719494977
2,isotropic,raw,6,0.241661381770429,0.2365708394628021,0.0050905423076269,0.0732878258074857,0.08857668072356065,0.015288854916074943,0.00437535924666086,0.0776057756014813,0.07323041635482044,0.9441960089951464,0.9465222442654752,0.9946288945884223,0.9921541716320119
2,isotropic,response,6,0.2637577731916224,0.25864729366507017,0.005110479526552247,0.08583028246107582,0.0938177266541735,0.007987444193097673,0.005776193523169897,0.07678787940571732,0.07101168588254743,0.9335245499223402,0.9360756047030058,0.9926331626126665,0.9911982341654603
2,label,raw,6,0.007010738246516737,0.004495323918662965,0.0025154143278537716,0.0012570532042039822,0.005296314924117968,0.004039261719913986,0.00437535924666086,0.0776057756014813,0.07323041635482044,0.9999507778971005,0.9999797626034842,0.9999984198172418,0.9999719490482246
2,label,response,6,0.0070694274210232775,0.004683754106599793,0.0023856733144234843,0.0014715923408613776,0.0052899749650215854,0.003818382624160208,0.005776193523169897,0.07678787940571732,0.07101168588254743,0.9999499503391324,0.999978030466632,0.9999978344159823,0.9999720161648695
3,isotropic,raw,6,0.22874684497498302,0.17889584699926914,0.04985099797571388,0.07409785121939019,0.15064985576960652,0.07655200455021632,0.005562525539666386,0.03789201739692263,0.03232949185725624,0.9486780974331898,0.9686098753835644,0.9945095084446799,0.9773046209566414
3,isotropic,response,6,0.2511608305683725,0.20872572395064545,0.042435106617727064,0.056216114862628425,0.14166342793713552,0.08544731307450709,0.003538116768596623,0.03844304111856229,0.034904924349965664,0.93812768816736,0.9572688604674258,0.996839748429758,0.9799314731851395
3,label,raw,6,0.008069760788026188,0.005255739295761845,0.002814021492264343,0.002657085272118835,0.0066530247697886725,0.003995939497669838,0.005562525539666386,0.03789201739692263,0.03232949185725624,0.9999349536287581,0.9999724088768163,0.9999929398978568,0.9999557372614126
3,label,response,6,0.008745803501824459,0.006696551747485701,0.0020492517543387575,0.0020714333990689577,0.006710948742869438,0.004639515343800481,0.003538116768596623,0.03844304111856229,0.034904924349965664,0.9999235986236622,0.9999552076127041,0.9999957091636732,0.9999549631669706
