basis,layer,rank,n,E_F_T_mean,E_F_T_std,F_T_excess_over_krr_risk_mean,F_T_excess_over_krr_risk_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_over_krr_risk_mean,model_excess_over_krr_risk_std,model_signal_error_mean,model_signal_error_std,op_excess_over_krr_risk_mean,op_excess_over_krr_risk_std,op_signal_error_mean,op_signal_error_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_mean,rank_std
combined,0,0,8,0.09387969787195985,0.04069592581917397,0.13238021970061362,0.09100361735248452,33.375,10.622583758873624,0.0,0.0,44.066290468511774,67.93662136494825,1.0310900089765238,0.08703096350406682,42.63019615390051,67.08813632033932,0.9999999999999656,4.0181923435286505e-14,21.0,5.477225575051661,31.375,5.9985117201805025,0.0,0.0
combined,0,1,8,0.09387969787195985,0.04069592581917397,0.13238021970061362,0.09100361735248452,33.375,10.622583758873624,0.0,0.0,28.91839505869487,43.36683152496629,0.8622431242006471,0.07844408444853346,26.406624833315522,42.41846100809799,0.8276468729148347,0.0877556513697967,21.0,5.477225575051661,31.375,5.9985117201805025,1.0,0.0
combined,0,10,8,0.09387969787195985,0.04069592581917397,0.13238021970061362,0.09100361735248452,33.375,10.622583758873624,0.0,0.0,1.074718017087899,1.306023320480098,0.23723101382427741,0.14906027458182797,0.7955422645543577,0.8460133217984949,0.22314479582426094,0.15304242295780404,21.0,5.477225575051661,31.375,5.9985117201805025,10.0,0.0
combined,0,11,8,0.09387969787195985,0.04069592581917397,0.13238021970061362,0.09100361735248452,33.375,10.622583758873624,0.0,0.0,0.8460736413183313,0.8885046302384934,0.22294493489161749,0.1427235023022111,0.655708425495114,0.6769864177915579,0.20634320929559502,0.1429826926611288,21.0,5.477225575051661,31.375,5.9985117201805025,11.0,0.0
combined,0,12,8,0.09387969787195985,0.04069592581917397,0.13238021970061362,0.09100361735248452,33.375,10.622583758873624,0.0,0.0,0.6725593107749597,0.6376173330153057,0.20544601285681874,0.12816012713388553,0.5375705735169474,0.5527346900218695,0.1899574666929663,0.1332337690472066,21.0,5.477225575051661,31.375,5.9985117201805025,12.0,0.0
combined,0,13,8,0.09387969787195985,0.04069592581917397,0.13238021970061362,0.09100361735248452,33.375,10.622583758873624,0.0,0.0,0.5260505457667624,0.47335577922705563,0.1910592404227764,0.12143985168925205,0.4398527655547218,0.4685725697651777,0.17431455274056457,0.1242738274202633,21.0,5.477225575051661,31.375,5.9985117201805025,13.0,0.0
combined,0,14,8,0.09387969787195985,0.04069592581917397,0.13238021970061362,0.09100361735248452,33.375,10.622583758873624,0.0,0.0,0.46110619297438793,0.4065234266530704,0.18047563736839387,0.11219088846792964,0.3819152821867043,0.41773182293892924,0.16097360037256833,0.1159506456445774,21.0,5.477225575051661,31.375,5.9985117201805025,14.0,0.0
combined,0,15,8,0.09387969787195985,0.04069592581917397,0.13238021970061362,0.09100361735248452,33.375,10.622583758873624,0.0,0.0,0.41809083371444355,0.3579117260618458,0.17177487672126923,0.10298159446813666,0.33679408551586926,0.37307093800173974,0.14910785976862817,0.10789811422741116,21.0,5.477225575051661,31.375,5.9985117201805025,15.0,0.0
combined,0,16,8,0.09387969787195985,0.04069592581917397,0.13238021970061362,0.09100361735248452,33.375,10.622583758873624,0.0,0.0,0.3748660205393596,0.30619440677718607,0.16047265358992052,0.08919279759681187,0.30169740030007014,0.334276617842892,0.1381313585862326,0.1001467116612719,21.0,5.477225575051661,31.375,5.9985117201805025,16.0,0.0
combined,0,17,7,0.10032741214278453,0.03929592762220829,0.12380261935208993,0.09473770443112774,35.857142857142854,8.610624666239792,0.0,0.0,0.29245124576834824,0.2510562216528482,0.16246164385490808,0.08548919404176653,0.22738449915302808,0.29350196581928517,0.13493017445677377,0.09889033132887183,20.571428571428573,5.769377287516763,31.428571428571427,6.477065767180456,17.0,0.0
