Experiment 2 Layerwise Sufficiency

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/checkpoints/final/dx40_tau16_s122.pt
episodes=8, n_ctx=47, n_tgt=40, alpha=0.05, curve_r_max=all

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16 21.0   31.4        nan  0.00     0.965       0.965    1.128
    1   34 21.0   31.4       17.3  0.38     0.259       0.235    0.436
    2   39 21.0   31.4       20.8  0.62     0.137       0.106    0.264
    3   41 21.0   31.4       21.3  0.75     0.102       0.068    0.215
    4   43 21.0   31.4       20.7  0.88     0.081       0.046    0.188
    5   44 21.0   31.4       20.6  0.88     0.066       0.029    0.174
    6   46 21.0   31.4       20.6  0.88     0.054       0.015    0.165
    7   46 21.0   31.4       21.6  1.00     0.045       0.005    0.162
    8   47 21.0   31.4       21.0  1.00     0.041       0.000    0.162

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   34 21.0   31.4       20.8  0.62     0.119       0.089    0.197
    1   37 21.0   31.4       21.3  0.75     0.085       0.054    0.183
    2   40 21.0   31.4       20.7  0.88     0.061       0.026    0.160
    3   42 21.0   31.4       21.9  1.00     0.046       0.007    0.159
    4   43 21.0   31.4       21.2  1.00     0.043       0.003    0.160
    5   43 21.0   31.4       21.1  1.00     0.042       0.002    0.160
    6   44 21.0   31.4       21.1  1.00     0.042       0.001    0.160
    7   44 21.0   31.4       21.0  1.00     0.041       0.001    0.161
    8   45 21.0   31.4       21.0  1.00     0.041       0.001    0.161

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   37 21.0   31.4       20.8  0.62     0.148       0.117    0.256
    1   39 21.0   31.4       21.5  0.75     0.110       0.078    0.211
    2   42 21.0   31.4       20.7  0.88     0.065       0.029    0.168
    3   44 21.0   31.4       22.1  1.00     0.046       0.007    0.162
    4   45 21.0   31.4       21.2  1.00     0.043       0.003    0.161
    5   46 21.0   31.4       21.0  1.00     0.041       0.000    0.162
    6   46 21.0   31.4       21.0  1.00     0.041       0.000    0.162
    7   47 21.0   31.4       21.0  1.00     0.041       0.000    0.162
    8   47 21.0   31.4       21.0  1.00     0.041       0.000    0.162
