Experiment 2 Layerwise Sufficiency

checkpoint=final/rbf_fixed_l3_nctx128_ntgt128_seed42.pt
episodes=8, n_ctx=128, n_tgt=128, alpha=0.05, curve_r_max=64

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16 24.8   47.1        nan  0.00     1.147       1.147    1.090
    1   51 24.8   47.1       38.0  0.12     0.100       0.074    0.116
    2   84 24.8   47.1       26.9  1.00     0.058       0.016    0.080
    3  101 24.8   47.1       25.5  1.00     0.052       0.006    0.075
    4  107 24.8   47.1       25.2  1.00     0.050       0.004    0.074
    5  113 24.8   47.1       25.1  1.00     0.049       0.002    0.073
    6  103 24.8   47.1       25.4  1.00     0.050       0.004    0.074
    7  126 24.8   47.1       24.9  1.00     0.048       0.000    0.072
    8  119 24.8   47.1       24.9  1.00     0.048       0.001    0.073

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    7 24.8   47.1        nan  0.00     1.813       1.813    1.772
    1   30 24.8   47.1        nan  0.00     0.105       0.095    0.125
    2   35 24.8   47.1        nan  0.00     0.087       0.067    0.109
    3   37 24.8   47.1        nan  0.00     0.087       0.066    0.105
    4   38 24.8   47.1        nan  0.00     0.083       0.060    0.102
    5   38 24.8   47.1        nan  0.00     0.085       0.064    0.106
    6   39 24.8   47.1        nan  0.00     0.081       0.058    0.103
    7   62 24.8   47.1       25.9  1.00     0.053       0.010    0.077
    8   62 24.8   47.1       26.0  1.00     0.054       0.011    0.077

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   23 24.8   47.1        nan  0.00     0.696       0.696    0.672
    1   49 24.8   47.1       35.0  0.12     0.083       0.059    0.102
    2   70 24.8   47.1       27.5  1.00     0.060       0.021    0.083
    3   82 24.8   47.1       26.2  1.00     0.055       0.012    0.079
    4   90 24.8   47.1       25.8  1.00     0.052       0.008    0.076
    5   92 24.8   47.1       25.5  1.00     0.052       0.006    0.075
    6   91 24.8   47.1       25.5  1.00     0.051       0.006    0.075
    7  125 24.8   47.1       24.9  1.00     0.048       0.000    0.072
    8  118 24.8   47.1       24.9  1.00     0.048       0.001    0.072
