basis,layer,rank,n,E_F_T_mean,E_F_T_std,F_T_excess_over_krr_risk_mean,F_T_excess_over_krr_risk_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_over_krr_risk_mean,model_excess_over_krr_risk_std,model_signal_error_mean,model_signal_error_std,op_excess_over_krr_risk_mean,op_excess_over_krr_risk_std,op_signal_error_mean,op_signal_error_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_mean,rank_std
combined,0,0,16,0.06651307627762662,0.012889893355068169,0.05383679511934909,0.015144895846492059,23.0,0.0,0.0,0.0,12.70436002911252,4.297811590082539,0.968758139618898,0.11964296522851457,13.322194048518705,3.263107123411877,0.9999999999999662,9.954931000182252e-16,10.5625,0.51234753829798,15.3125,0.47871355387816905,0.0,0.0
combined,0,1,16,0.06651307627762662,0.012889893355068169,0.05383679511934909,0.015144895846492059,23.0,0.0,0.0,0.0,3.9118888269754324,0.9222017503039782,0.5437025148567856,0.039620184222835246,4.096628416076735,0.7357107143814734,0.5589683957644536,0.02842836587887342,10.5625,0.51234753829798,15.3125,0.47871355387816905,1.0,0.0
combined,0,10,16,0.06651307627762662,0.012889893355068169,0.05383679511934909,0.015144895846492059,23.0,0.0,0.0,0.0,0.2933223651808067,0.06560634429264302,0.14994450191435058,0.01744782502832783,0.2338499789094301,0.034139066151433604,0.13444915508614624,0.013590841844399043,10.5625,0.51234753829798,15.3125,0.47871355387816905,10.0,0.0
combined,0,11,16,0.06651307627762662,0.012889893355068169,0.05383679511934909,0.015144895846492059,23.0,0.0,0.0,0.0,0.27765006627610944,0.05793055939196661,0.14603324280438057,0.016881008110668207,0.2193285541614553,0.03378628950380881,0.13014212582868398,0.013300587280422405,10.5625,0.51234753829798,15.3125,0.47871355387816905,11.0,0.0
combined,0,12,16,0.06651307627762662,0.012889893355068169,0.05383679511934909,0.015144895846492059,23.0,0.0,0.0,0.0,0.27123861287459217,0.05942685957039357,0.14426069033760422,0.01742326339500917,0.2104855888762559,0.03367828038314924,0.12744524528338128,0.013183994478670323,10.5625,0.51234753829798,15.3125,0.47871355387816905,12.0,0.0
combined,0,13,16,0.06651307627762662,0.012889893355068169,0.05383679511934909,0.015144895846492059,23.0,0.0,0.0,0.0,0.2671970926767915,0.06009226914952147,0.14313994028605143,0.017551301860163425,0.20545926543201626,0.03332234053048359,0.12590437141236674,0.013185528159343003,10.5625,0.51234753829798,15.3125,0.47871355387816905,13.0,0.0
combined,0,14,16,0.06651307627762662,0.012889893355068169,0.05383679511934909,0.015144895846492059,23.0,0.0,0.0,0.0,0.2644251875661281,0.05877904555543052,0.14242172017735455,0.017376695422356998,0.2022963853719855,0.033378223974587645,0.1249110122566783,0.013190057822928581,10.5625,0.51234753829798,15.3125,0.47871355387816905,14.0,0.0
combined,0,15,16,0.06651307627762662,0.012889893355068169,0.05383679511934909,0.015144895846492059,23.0,0.0,0.0,0.0,0.2631105623066677,0.058446413256438734,0.14206839118930892,0.017359201952941033,0.20083785251568256,0.033168238812937435,0.12445962606021424,0.013161873960029366,10.5625,0.51234753829798,15.3125,0.47871355387816905,15.0,0.0
combined,0,16,16,0.06651307627762662,0.012889893355068169,0.05383679511934909,0.015144895846492059,23.0,0.0,0.0,0.0,0.26282272249448146,0.05836199311719365,0.14198369652576937,0.017321043659841204,0.20044264595115438,0.03322543400974452,0.12433342239181831,0.013173318314700267,10.5625,0.51234753829798,15.3125,0.47871355387816905,16.0,0.0
combined,0,17,16,0.06651307627762662,0.012889893355068169,0.05383679511934909,0.015144895846492059,23.0,0.0,0.0,0.0,0.2628227224944814,0.05836199311719366,0.14198369652576937,0.0173210436598412,0.2004426459511544,0.03322543400974453,0.12433342239181831,0.013173318314700271,10.5625,0.51234753829798,15.3125,0.47871355387816905,17.0,0.0
