Experiment 2 Layerwise Sufficiency

checkpoint=final/linear_sweep_dx3.pt
episodes=16, n_ctx=47, n_tgt=16, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    5  3.0    3.0        3.0  1.00     0.002       0.002    0.097
    1    8  3.0    3.0        3.0  1.00     0.002       0.002    0.099
    2   12  3.0    3.0        3.0  1.00     0.004       0.004    0.100
    3   18  3.0    3.0        3.0  1.00     0.006       0.006    0.102
    4   23  3.0    3.0        3.0  1.00     0.001       0.001    0.096
    5   26  3.0    3.0        3.0  1.00     0.001       0.001    0.094
    6   27  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    7   29  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    8   28  3.0    3.0        3.0  1.00     0.001       0.001    0.094

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    4  3.0    3.0        3.0  1.00     0.001       0.001    0.095
    1    5  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    2    6  3.0    3.0        3.0  1.00     0.001       0.001    0.095
    3    8  3.0    3.0        3.0  1.00     0.001       0.001    0.094
    4    9  3.0    3.0        3.0  1.00     0.001       0.001    0.094
    5    9  3.0    3.0        3.0  1.00     0.001       0.001    0.094
    6   10  3.0    3.0        3.0  1.00     0.001       0.001    0.094
    7   11  3.0    3.0        3.0  1.00     0.001       0.001    0.095
    8   11  3.0    3.0        3.0  1.00     0.001       0.001    0.095

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    6  3.0    3.0        3.0  1.00     0.001       0.001    0.097
    1    8  3.0    3.0        3.0  1.00     0.001       0.001    0.096
    2   11  3.0    3.0        3.0  1.00     0.002       0.002    0.098
    3   18  3.0    3.0        3.0  1.00     0.002       0.002    0.097
    4   23  3.0    3.0        3.0  1.00     0.001       0.001    0.095
    5   25  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    6   27  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    7   29  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    8   27  3.0    3.0        3.0  1.00     0.000       0.000    0.094
