episode,basis,layer,rank,candidate_dim,r_eff_T_task,r_eff_T_task_strict,op_excess_over_krr_risk,op_signal_error,model_excess_over_krr_risk,model_signal_error,E_F_T,F_T_excess_over_krr_risk
0,response,0,0,5,5,5,2249.8484691037606,0.999999999999999,2033.206004642646,0.9506355638488673,0.006922764199025678,0.09718734328283596
0,response,0,1,5,5,5,1452.655583324814,0.8035348079313732,1267.6777756027336,0.7506332602780961,0.006922764199025678,0.09718734328283596
0,response,0,2,5,5,5,864.3104925695976,0.6198095425262934,737.1744474847495,0.5724117000760707,0.006922764199025678,0.09718734328283596
0,response,0,3,5,5,5,350.86616329937783,0.3949063431567241,306.3709420995746,0.36901766092815924,0.006922764199025678,0.09718734328283596
0,response,0,4,5,5,5,115.15478869692619,0.22623738226944942,138.45381980756295,0.2480709082267329,0.006922764199025678,0.09718734328283596
0,response,0,5,5,5,5,0.0015336965295397733,0.0008256444826669573,0.0967774492493878,0.00655858952877076,0.006922764199025678,0.09718734328283596
0,raw,0,0,6,5,5,2249.8484691037606,0.999999999999999,2033.206004642646,0.9506355638488673,0.006922764199025678,0.09718734328283596
0,raw,0,1,6,5,5,1452.655162293426,0.8035346914848446,1267.6777693437925,0.7506332584250347,0.006922764199025678,0.09718734328283596
0,raw,0,2,6,5,5,864.3098656069249,0.6198093177242568,737.1755269663861,0.5724121191815448,0.006922764199025678,0.09718734328283596
0,raw,0,3,6,5,5,350.8653454127042,0.39490588288318196,306.37149497946245,0.3690179938943824,0.006922764199025678,0.09718734328283596
0,raw,0,4,6,5,5,115.15372896947248,0.22623634127706282,138.45483151969097,0.24807181457907598,0.006922764199025678,0.09718734328283596
0,raw,0,5,6,5,5,0.00038950057405455707,0.00041608055178549863,0.09784478318069799,0.006594656866938651,0.006922764199025678,0.09718734328283596
0,raw,0,6,6,5,5,0.00038950057405455577,0.0004160805517854979,0.09784478318071835,0.006594656866939336,0.006922764199025678,0.09718734328283596
0,combined,0,0,6,5,5,2249.8484691037606,0.999999999999999,2033.206004642646,0.9506355638488673,0.006922764199025678,0.09718734328283596
0,combined,0,1,6,5,5,1452.6554224306183,0.80353476343215,1267.6779519834004,0.7506333124984603,0.006922764199025678,0.09718734328283596
0,combined,0,2,6,5,5,864.3102356023049,0.6198094503888072,737.1750825988495,0.5724119466572325,0.006922764199025678,0.09718734328283596
0,combined,0,3,6,5,5,350.865705892531,0.39490608574671576,306.3709226332187,0.36901764920474117,0.006922764199025678,0.09718734328283596
0,combined,0,4,6,5,5,115.15424387357038,0.22623684707869876,138.45379880851172,0.24807088941448954,0.006922764199025678,0.09718734328283596
0,combined,0,5,6,5,5,0.0009629220965943986,0.0006542126568765002,0.09659542334977916,0.006552418695283746,0.006922764199025678,0.09718734328283596
0,combined,0,6,6,5,5,0.0009629220965943909,0.0006542126568764977,0.096595423349797,0.006552418695284352,0.006922764199025678,0.09718734328283596
0,response,1,0,9,5,5,2249.8484691037606,0.999999999999999,2033.206004642646,0.9506355638488673,0.006922764199025678,0.09718734328283596
0,response,1,1,9,5,5,1452.6555901178933,0.8035348098101655,1267.6785341812506,0.7506334848675742,0.006922764199025678,0.09718734328283596
0,response,1,2,9,5,5,864.3105198056493,0.6198095522919764,737.1762292145605,0.5724123918271056,0.006922764199025678,0.09718734328283596
0,response,1,3,9,5,5,350.8664033126413,0.39490647822638014,306.3718165084298,0.36901818753175614,0.006922764199025678,0.09718734328283596
0,response,1,4,9,5,5,115.155029133369,0.22623761845451668,138.4545972318521,0.24807160469028672,0.006922764199025678,0.09718734328283596
0,response,1,5,9,5,5,0.0018044141821694257,0.0008955533887809453,0.09762770237725994,0.006587337272181455,0.006922764199025678,0.09718734328283596
0,response,1,6,9,5,5,0.0018044141821694337,0.0008955533887809472,0.09762770237726569,0.006587337272181649,0.006922764199025678,0.09718734328283596
0,response,1,7,9,5,5,0.0018044141821694504,0.0008955533887809513,0.09762770237725459,0.0065873372721812744,0.006922764199025678,0.09718734328283596
0,response,1,8,9,5,5,0.0018044141821694322,0.0008955533887809469,0.09762770237729523,0.006587337272182646,0.006922764199025678,0.09718734328283596
0,response,1,9,9,5,5,0.001804414182169434,0.0008955533887809473,0.09762770237729602,0.006587337272182673,0.006922764199025678,0.09718734328283596
0,raw,1,0,6,5,5,2249.8484691037606,0.999999999999999,2033.206004642646,0.9506355638488673,0.006922764199025678,0.09718734328283596
0,raw,1,1,6,5,5,1452.6551795031894,0.8035346962446259,1267.6782263223208,0.7506333937209511,0.006922764199025678,0.09718734328283596
0,raw,1,2,6,5,5,864.309965809023,0.6198093536524549,737.1774726473868,0.572412874585522,0.006922764199025678,0.09718734328283596
0,raw,1,3,6,5,5,350.86537142707016,0.3949058975230233,306.372894889088,0.3690188369742054,0.006922764199025678,0.09718734328283596
0,raw,1,4,6,5,5,115.15373519049855,0.22623634738812048,138.456077410998,0.24807293071860906,0.006922764199025678,0.09718734328283596
0,raw,1,5,6,5,5,0.00040222308232970593,0.00042282130330973956,0.0992044544653986,0.006640319137050429,0.006922764199025678,0.09718734328283596
0,raw,1,6,6,5,5,0.0004022230823297107,0.00042282130330974205,0.09920445446541377,0.006640319137050936,0.006922764199025678,0.09718734328283596
0,combined,1,0,9,5,5,2249.8484691037606,0.999999999999999,2033.206004642646,0.9506355638488673,0.006922764199025678,0.09718734328283596
0,combined,1,1,9,5,5,1452.6553863762038,0.8035347534604199,1267.6786966669538,0.7506335329740943,0.006922764199025678,0.09718734328283596
0,combined,1,2,9,5,5,864.3101993762837,0.6198094373997036,737.1765601759771,0.5724125203217499,0.006922764199025678,0.09718734328283596
0,combined,1,3,9,5,5,350.8656300436395,0.39490604306202187,306.37178649192026,0.36901816945463933,0.006922764199025678,0.09718734328283596
0,combined,1,4,9,5,5,115.15413794480165,0.22623674302262858,138.4545680362357,0.2480715785351285,0.006922764199025678,0.09718734328283596
0,combined,1,5,9,5,5,0.0008477487480059214,0.0006138424862169565,0.09752278641039046,0.006583796767694389,0.006922764199025678,0.09718734328283596
0,combined,1,6,9,5,5,0.0008477487480059197,0.000613842486216956,0.09752278641038618,0.006583796767694245,0.006922764199025678,0.09718734328283596
0,combined,1,7,9,5,5,0.000847748748005919,0.0006138424862169557,0.09752278641038996,0.006583796767694373,0.006922764199025678,0.09718734328283596
0,combined,1,8,9,5,5,0.000847748748005917,0.000613842486216955,0.0975227864103943,0.006583796767694519,0.006922764199025678,0.09718734328283596
0,combined,1,9,9,5,5,0.0008477487480059175,0.0006138424862169551,0.09752278641042036,0.006583796767695399,0.006922764199025678,0.09718734328283596
0,response,2,0,12,5,5,2249.8484691037606,0.999999999999999,2033.206004642646,0.9506355638488673,0.006922764199025678,0.09718734328283596
0,response,2,1,12,5,5,1452.6560865771553,0.8035349471180955,1267.6803374145463,0.7506340187437798,0.006922764199025678,0.09718734328283596
0,response,2,2,12,5,5,864.3112229068278,0.6198098043939282,737.1779917860853,0.5724130761391732,0.006922764199025678,0.09718734328283596
0,response,2,3,12,5,5,350.8671777198493,0.39490691403079403,306.37326989296963,0.3690190628157472,0.006922764199025678,0.09718734328283596
0,response,2,4,12,5,5,115.15597598738175,0.2262385485639446,138.45583452425856,0.24807271312739587,0.006922764199025678,0.09718734328283596
