basis,layer,rank,n,E_F_T_mean,E_F_T_std,F_T_excess_over_krr_risk_mean,F_T_excess_over_krr_risk_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_over_krr_risk_mean,model_excess_over_krr_risk_std,model_signal_error_mean,model_signal_error_std,op_excess_over_krr_risk_mean,op_excess_over_krr_risk_std,op_signal_error_mean,op_signal_error_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_mean,rank_std
combined,0,0,16,0.009175431806529315,0.00318901359768941,0.2238599528386387,0.255250170792955,7.4375,3.161618783682393,0.0,0.0,2192.8595180496804,1005.168310946592,1.0031549399892206,0.0848284619869269,2271.999391431744,1164.8469033651338,0.9999999999999983,1.6618769203473363e-15,5.0,0.0,5.0,0.0,0.0,0.0
combined,0,1,16,0.009175431806529315,0.00318901359768941,0.2238599528386387,0.255250170792955,7.4375,3.161618783682393,0.0,0.0,1212.797269366171,546.1485077572579,0.7479223349173238,0.0922377652543948,1328.3658657947888,650.4542820973886,0.7707508347305502,0.033215441432246695,5.0,0.0,5.0,0.0,1.0,0.0
combined,0,10,4,0.008223247305531638,0.0027872657900273106,0.06556297303898578,0.04079895254032036,12.5,1.9148542155126762,0.0,0.0,0.0669364127442441,0.03955459566927086,0.008680570167506198,0.002076954147733132,0.002593537702367772,0.00047798401288862006,0.001830927100755861,0.000434848625088964,5.0,0.0,5.0,0.0,10.0,0.0
combined,0,11,4,0.008223247305531638,0.0027872657900273106,0.06556297303898578,0.04079895254032036,12.5,1.9148542155126762,0.0,0.0,0.06693641274424376,0.039554595669272816,0.008680570167506129,0.0020769541477333037,0.002593537702367767,0.0004779840128886186,0.0018309271007558596,0.00043484862508896317,5.0,0.0,5.0,0.0,11.0,0.0
combined,0,12,2,0.005941916589468542,6.624458404553676e-05,0.030313832444498957,0.004030130829845249,14.0,1.4142135623730951,0.0,0.0,0.03275736370095841,0.002896009806097636,0.007020302770994547,0.000669462842744214,0.002678933746219487,0.0006543818204061102,0.0020244373038899215,0.0005266449358790819,5.0,0.0,5.0,0.0,12.0,0.0
combined,0,13,2,0.005941916589468542,6.624458404553676e-05,0.030313832444498957,0.004030130829845249,14.0,1.4142135623730951,0.0,0.0,0.03275736370095836,0.0028960098060980483,0.007020302770994537,0.0006694628427441681,0.002678933746219486,0.0006543818204061044,0.0020244373038899215,0.0005266449358790797,5.0,0.0,5.0,0.0,13.0,0.0
combined,0,14,1,0.005988758584064023,0.0,0.027464099605646414,0.0,15.0,0.0,0.0,0.0,0.03070957552868448,0.0,0.007493684486851459,0.0,0.0031416515689138393,0.0,0.0023968315093275726,0.0,5.0,0.0,5.0,0.0,14.0,0.0
combined,0,15,1,0.005988758584064023,0.0,0.027464099605646414,0.0,15.0,0.0,0.0,0.0,0.030709575528684842,0.0,0.007493684486851502,0.0,0.003141651568913843,0.0,0.0023968315093275743,0.0,5.0,0.0,5.0,0.0,15.0,0.0
combined,0,2,16,0.009175431806529315,0.00318901359768941,0.2238599528386387,0.255250170792955,7.4375,3.161618783682393,0.0,0.0,678.2749117847461,335.5498554091261,0.5577236539636162,0.07616997057847572,751.9721464639131,361.71972737810927,0.5822933845339833,0.032724160534656155,5.0,0.0,5.0,0.0,2.0,0.0
combined,0,3,16,0.009175431806529315,0.00318901359768941,0.2238599528386387,0.255250170792955,7.4375,3.161618783682393,0.0,0.0,324.97413981883506,150.3354216012434,0.3909281727671064,0.07462790928452338,357.00027241550083,166.28363469041705,0.40458787608195734,0.038315090931829165,5.0,0.0,5.0,0.0,3.0,0.0
