Experiment 3: Galerkin-Leverage Surgery

checkpoint=final/linear_baseline_dx5_L8.pt
episodes=32, n_causal=32, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
high_iso_low_task          1      0.0    0.03778      4.417      0.06987      0.06549
high_iso_low_task          1      1.0    0.09635     11.096      0.79762      0.79330
high_iso_low_task          1      2.0    0.09006      8.854      0.14143      0.13725
high_iso_low_task          1      3.0    0.00561      1.219      0.01008      0.00676
high_iso_low_task          1      4.0    0.00909      1.416      0.01167      0.00887
high_iso_low_task          1      5.0    0.00565      1.171      0.00481      0.00246
high_iso_low_task          1      6.0    0.00353      1.102      0.00468      0.00236
high_iso_low_task          1      7.0    0.00122      1.002      0.00132      0.00025
high_iso_low_task          1      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          2      0.0    0.04050      4.595      0.09010      0.08475
high_iso_low_task          2      1.0    0.08600      9.957      0.22343      0.21842
high_iso_low_task          2      2.0    0.08229      8.314      0.12662      0.12166
high_iso_low_task          2      3.0    0.00636      1.243      0.01084      0.00693
high_iso_low_task          2      4.0    0.00931      1.407      0.01239      0.00906
high_iso_low_task          2      5.0    0.00551      1.136      0.00515      0.00239
high_iso_low_task          2      6.0    0.00375      1.100      0.00509      0.00236
high_iso_low_task          2      7.0    0.00142      1.005      0.00146      0.00023
high_iso_low_task          2      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          4      0.0    0.04102      4.554      0.08752      0.08130
high_iso_low_task          4      1.0    0.07373      7.929      2.88493      2.87899
high_iso_low_task          4      2.0    0.07915      8.153      0.16553      0.15951
high_iso_low_task          4      3.0    0.00694      1.242      0.01121      0.00667
high_iso_low_task          4      4.0    0.00990      1.422      0.01289      0.00904
high_iso_low_task          4      5.0    0.00582      1.141      0.00551      0.00239
high_iso_low_task          4      6.0    0.00378      1.085      0.00547      0.00234
high_iso_low_task          4      7.0    0.00168      1.006      0.00161      0.00021
high_iso_low_task          4      8.0    0.00000      1.000      0.00000      0.00000
high_task                  1      0.0    1.71277    212.870      6.60989      6.60044
high_task                  1      1.0    4.68209    649.379     41.58064     41.57140
