episode,name,state_idx,basis_layer,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,mse_model,mse_krr,mse_ratio,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
0,base,1,8,47,40,21,21,47,21,47,0.041184083672541845,5.888228303384601e-29,1.0,0.06591849279060025,0.07263020564598219,0.9075906119817901,0.129804267053287,0.0,0.1330728113374696,0.16443931652215882,0.0
0,keep_Q,1,8,47,40,21,21,47,21,47,0.041184083672541845,5.888228303384601e-29,1.0,0.06591849279060025,0.07263020564598219,0.9075906119817901,0.2694275316590378,0.2457657612296979,0.1995877045602181,0.17374147964230993,0.20427377357251922
0,remove_Q,1,8,47,40,21,21,47,21,47,0.041184083672541845,5.888228303384601e-29,1.0,0.06591849279060025,0.07263020564598219,0.9075906119817901,1.1566127144113063,1.1680722760254016,0.7271987724572121,0.733441580407047,0.7098025217563999
1,base,1,8,47,40,13,13,47,13,47,0.045471201713370754,1.5929415623882444e-28,1.0,0.020394439533874358,0.017799226989601694,1.145804789488262,0.06839911815601596,0.0,0.12672286404421887,0.13814783881305207,0.0
1,keep_Q,1,8,47,40,13,13,47,13,47,0.045471201713370754,1.5929415623882444e-28,1.0,0.020394439533874358,0.017799226989601694,1.145804789488262,0.16113552110053733,0.17603281051276,0.19562266188856875,0.16655583992026707,0.21614026919332935
1,remove_Q,1,8,47,40,13,13,47,13,47,0.045471201713370754,1.5929415623882444e-28,1.0,0.020394439533874358,0.017799226989601694,1.145804789488262,0.623705242848634,0.617421157651398,0.6853380432063164,0.6855008144710769,0.647871877796418
2,base,1,8,47,40,24,27,44,27,43,0.04900389369844841,0.02655908227106307,1.0,0.09880321938658657,0.10216170773955499,0.9671257614298073,0.04847584156752324,0.0,0.04168420879069952,0.04263510219533822,0.0
2,keep_Q,1,8,47,40,24,27,44,27,43,0.04900389369844841,0.02655908227106307,1.0,0.09880321938658657,0.10216170773955499,0.9671257614298073,0.09003061098682959,0.09601182260977252,0.08178107413293599,0.07829558297223888,0.061655712529475985
2,remove_Q,1,8,47,40,24,27,44,27,43,0.04900389369844841,0.02655908227106307,1.0,0.09880321938658657,0.10216170773955499,0.9671257614298073,0.2307732772784806,0.23192805438976255,0.12807227142805105,0.12750781421889468,0.12156825096777853
3,base,1,8,47,40,17,17,47,17,47,0.039475382300317614,5.210841235553837e-29,1.0,0.04430976242615118,0.038993798474032046,1.136328446064553,0.12079951729718189,0.0,0.1467606458287709,0.18669909798015932,0.0
3,keep_Q,1,8,47,40,17,17,47,17,47,0.039475382300317614,5.210841235553837e-29,1.0,0.04430976242615118,0.038993798474032046,1.136328446064553,0.1383156712996351,0.1689375037239014,0.1689501264923588,0.1310433775919271,0.21506862074293145
3,remove_Q,1,8,47,40,17,17,47,17,47,0.039475382300317614,5.210841235553837e-29,1.0,0.04430976242615118,0.038993798474032046,1.136328446064553,0.8260347633322109,0.8323387159918744,0.8599706484534022,0.8598990692436125,0.8618650965355442
4,base,1,8,47,40,23,23,47,23,47,0.04266553863859869,8.935549173177459e-27,1.0,0.15858823427702118,0.14783430198332645,1.072743146545973,0.0431132909058494,0.0,0.0521016918565064,0.05710205504773084,0.0
4,keep_Q,1,8,47,40,23,23,47,23,47,0.04266553863859869,8.935549173177459e-27,1.0,0.15858823427702118,0.14783430198332645,1.072743146545973,0.06227745894587555,0.05631673007218468,0.08417085651277242,0.08036178002912797,0.07628944805383811
4,remove_Q,1,8,47,40,23,23,47,23,47,0.04266553863859869,8.935549173177459e-27,1.0,0.15858823427702118,0.14783430198332645,1.072743146545973,0.2870796762393008,0.2699717760586492,0.3657339068096802,0.36602205672939125,0.3549753047113526
5,base,1,8,47,40,17,17,46,17,46,0.02325676424135247,0.00074098807237905,1.0,0.03960706136394134,0.031100775449105,1.273507196910781,0.02700921757433841,0.0,0.038148001680428846,0.03849307981757052,0.0
5,keep_Q,1,8,47,40,17,17,46,17,46,0.02325676424135247,0.00074098807237905,1.0,0.03960706136394134,0.031100775449105,1.273507196910781,0.03863931078400925,0.03863870727836362,0.0745923711148983,0.07376132322322256,0.07645183260748052
5,remove_Q,1,8,47,40,17,17,46,17,46,0.02325676424135247,0.00074098807237905,1.0,0.03960706136394134,0.031100775449105,1.273507196910781,0.5181332580876499,0.5240759559868385,0.4833433374413651,0.4833012894749293,0.4867724776784908
