episode,bank_index,bank_batch_index,bank_batch_member,name,sampling_mode,profile,tau_actual,log10_lambda1,scale_bin,lambda1,gamma,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,q_label_energy_frac,base_krr_mse,mse,mse_ratio,krr_input_mse,krr_input_ratio,model_vs_input_krr,pred_drift,krr_drift
0,0,0,0,y,fixed_target_rich,minimal_step,8.290973663330078,0.8110215663909912,"[0,1)",6.471747526460006,,47,40,29,34,44,34,41,0.047101794736963166,0.04281259444590539,1.0,0.7701835346331899,0.11015701678071374,0.1892737236695251,1.7182175879572577,0.11015701678071374,1.0,0.40117421721792157,0.0,0.0
0,0,0,0,y_Q,fixed_target_rich,minimal_step,8.290973663330078,0.8110215663909912,"[0,1)",6.471747526460006,,47,40,29,34,44,34,41,0.047101794736963166,0.04281259444590539,1.0,0.7701835346331899,0.11015701678071374,0.17735021699856982,1.6099765787195885,0.12231961111324936,1.1104114353128074,0.2164421912146581,0.034488686246867115,0.05388153640328897
0,0,0,0,y_perp,fixed_target_rich,minimal_step,8.290973663330078,0.8110215663909912,"[0,1)",6.471747526460006,,47,40,29,34,44,34,41,0.047101794736963166,0.04281259444590539,1.0,0.7701835346331899,0.11015701678071374,4.734186836559807,42.9767160995655,4.708457702880059,42.74314828489813,0.0017663558090275277,1.0001801210795163,0.9990106042907179
1,1,1,0,y,fixed_target_rich,minimal_step,1.7953152656555176,-0.45126551389694214,"[-1,0)",0.3537809844598032,,47,40,21,21,47,21,47,0.04595920077340603,2.5339761989666675e-28,1.0,0.5700816361849617,0.044802141299486585,0.05669630440959178,1.2654820230711048,0.044802141299486585,1.0,0.16069553642542164,0.0,0.0
1,1,1,0,y_Q,fixed_target_rich,minimal_step,1.7953152656555176,-0.45126551389694214,"[-1,0)",0.3537809844598032,,47,40,21,21,47,21,47,0.04595920077340603,2.5339761989666675e-28,1.0,0.5700816361849617,0.044802141299486585,0.04319978503968726,0.9642348286639217,0.04470451200372057,0.9978208788032384,0.21405714198077086,0.0727944213011494,0.034034619697212894
1,1,1,0,y_perp,fixed_target_rich,minimal_step,1.7953152656555176,-0.45126551389694214,"[-1,0)",0.3537809844598032,,47,40,21,21,47,21,47,0.04595920077340603,2.5339761989666675e-28,1.0,0.5700816361849617,0.044802141299486585,0.9102642568110889,20.31742748022448,0.9821972217471393,21.92299727777509,0.0038628647116750714,0.9649509585744867,0.9994206545102843
2,2,2,0,y,fixed_target_rich,minimal_step,5.835660934448242,-0.19413000345230103,"[-1,0)",0.6395433633502704,,47,40,28,28,47,28,47,0.041919560551805714,8.77190577808762e-28,1.0,0.4921633522362129,0.1728682587083295,0.19465570591562847,1.1260349781393915,0.1728682587083295,1.0,0.05205824546810556,0.0,0.0
2,2,2,0,y_Q,fixed_target_rich,minimal_step,5.835660934448242,-0.19413000345230103,"[-1,0)",0.6395433633502704,,47,40,28,28,47,28,47,0.041919560551805714,8.77190577808762e-28,1.0,0.4921633522362129,0.1728682587083295,0.18706873831885798,1.0821462523926275,0.18649695012689504,1.0788385995231227,0.018898309805139697,0.08728118284969168,0.06218548140033183
2,2,2,0,y_perp,fixed_target_rich,minimal_step,5.835660934448242,-0.19413000345230103,"[-1,0)",0.6395433633502704,,47,40,28,28,47,28,47,0.041919560551805714,8.77190577808762e-28,1.0,0.4921633522362129,0.1728682587083295,1.9550314121351609,11.30937181147738,1.9044223561347748,11.01661097511253,0.006766147535592981,1.0048265086749095,0.9980646100843272
3,3,3,0,y,fixed_target_rich,minimal_step,14.49149227142334,0.15958523750305176,"[0,1)",1.4440599972310129,,47,40,32,32,47,32,47,0.04402861271343991,6.0318768805934186e-27,1.0,0.5794623232221529,0.3157429643482383,0.33645695191788205,1.0656039560925827,0.3157429643482383,1.0,0.2352360009244566,0.0,0.0
3,3,3,0,y_Q,fixed_target_rich,minimal_step,14.49149227142334,0.15958523750305176,"[0,1)",1.4440599972310129,,47,40,32,32,47,32,47,0.04402861271343991,6.0318768805934186e-27,1.0,0.5794623232221529,0.3157429643482383,0.3273841627150724,1.0368692249116749,0.33193163207926923,1.0512716657501708,0.05469731606018952,0.08801361275332008,0.051791064745160764
3,3,3,0,y_perp,fixed_target_rich,minimal_step,14.49149227142334,0.15958523750305176,"[0,1)",1.4440599972310129,,47,40,32,32,47,32,47,0.04402861271343991,6.0318768805934186e-27,1.0,0.5794623232221529,0.3157429643482383,6.032340725695685,19.105226107405876,6.26376242555937,19.83816943788163,0.00612732637365802,0.9795897133715683,0.9986579422467229
4,4,4,0,y,fixed_target_rich,minimal_smooth,8.616469383239746,0.036555707454681396,"[0,1)",1.0878166641818288,,47,40,18,18,47,18,47,0.041803652659325174,3.020252150263207e-26,1.0,0.3477530747001452,0.06988033700594729,0.08518780537857529,1.2190525837235908,0.06988033700594729,1.0,0.09499068133374806,0.0,0.0
4,4,4,0,y_Q,fixed_target_rich,minimal_smooth,8.616469383239746,0.036555707454681396,"[0,1)",1.0878166641818288,,47,40,18,18,47,18,47,0.041803652659325174,3.020252150263207e-26,1.0,0.3477530747001452,0.06988033700594729,0.08799696181030957,1.2592521098291274,0.068757450655792,0.9839312974397975,0.1090552643682437,0.02498658671121689,0.015979482915575063
4,4,4,0,y_perp,fixed_target_rich,minimal_smooth,8.616469383239746,0.036555707454681396,"[0,1)",1.0878166641818288,,47,40,18,18,47,18,47,0.041803652659325174,3.020252150263207e-26,1.0,0.3477530747001452,0.06988033700594729,5.282018526203342,75.58662067920203,5.206894809629871,74.5115869888654,0.00043978006788436563,1.0067045029163266,0.999872319911699
5,5,5,0,y,fixed_target_rich,minimal_smooth,1.9766324758529663,-0.9762278199195862,"[-1,0)",0.10562632748135951,,47,40,10,10,47,10,47,0.03964992601822184,3.040016937156582e-28,1.0,0.29572798009858003,0.014919681524041583,0.021261733945276376,1.425079611184408,0.014919681524041583,1.0,0.17317438353076792,0.0,0.0
5,5,5,0,y_Q,fixed_target_rich,minimal_smooth,1.9766324758529663,-0.9762278199195862,"[-1,0)",0.10562632748135951,,47,40,10,10,47,10,47,0.03964992601822184,3.040016937156582e-28,1.0,0.29572798009858003,0.014919681524041583,0.026932129032213932,1.8051410138222779,0.01283511384318645,0.8602806851140851,0.41582805373416887,0.1641124751279256,0.0826083348954237
5,5,5,0,y_perp,fixed_target_rich,minimal_smooth,1.9766324758529663,-0.9762278199195862,"[-1,0)",0.10562632748135951,,47,40,10,10,47,10,47,0.03964992601822184,3.040016937156582e-28,1.0,0.29572798009858003,0.014919681524041583,0.22314481074468073,14.956405764097918,0.22091496503469044,14.806949108042819,0.0035955229299728933,1.0042457399142952,0.9965820904496796
6,6,6,0,y,fixed_target_rich,minimal_smooth,12.899203300476074,0.3828449845314026,"[0,1)",2.414598822625375,,47,40,22,22,47,22,47,0.03503306333715417,2.504387974402348e-25,1.0,0.42807257839233037,0.1641526534075242,0.20354191028973195,1.239955042239983,0.1641526534075242,1.0,0.24075539676894764,0.0,0.0
6,6,6,0,y_Q,fixed_target_rich,minimal_smooth,12.899203300476074,0.3828449845314026,"[0,1)",2.414598822625375,,47,40,22,22,47,22,47,0.03503306333715417,2.504387974402348e-25,1.0,0.42807257839233037,0.1641526534075242,0.2272909552361914,1.3846316250028594,0.17858534335479398,1.087922367672238,0.14619357079794668,0.06542924929894782,0.026591955436268588
