selection_rank,bank_index,name,replicate,state_idx,basis_layer,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
1,35,base,base,1,8,47,40,1,7,7,,7,0.0567960249741194,0.0567960249741194,0.0,5.925150319096725e-05,3359487.438815045,3359487.438815045,56698771472.30234,1.0,869728.2437190518,0.0,89082246.25570054,89082246.2668415,0.0
1,35,keep_Q,keep_Q,1,8,47,40,1,7,7,,7,0.0567960249741194,0.0567960249741194,0.0,5.925150319096725e-05,3359487.438815045,20153.30476630487,340131535.5890784,166.69660275429908,67363.96877678165,1.008276293317236,6809938.618729193,6809938.665561575,89678004.86809377
1,35,remove_Q,remove_Q,1,8,47,40,1,7,7,,7,0.0567960249741194,0.0567960249741194,0.0,5.925150319096725e-05,3359487.438815045,3716090.7732102373,62717240459.42426,0.9040380453120279,914724.6473362572,0.7498922124669473,6985056.52856246,6985056.619945447,89909314.00946213
1,35,zero_context,zero_context,1,8,47,40,1,7,7,,7,0.0567960249741194,0.0567960249741194,0.0,5.925150319096725e-05,3359487.438815045,0.0003501010161495175,5.908728003425398,9595766032.796404,8.05809015057312,0.9999976810148915,,,
1,35,keep_response_svd,keep_response_svd,1,8,47,40,1,7,7,,7,0.0567960249741194,0.0567960249741194,0.0,5.925150319096725e-05,3359487.438815045,20146.206798565072,340011741.7044081,166.75533376607288,67352.10518179227,1.0082744111151403,,,
1,35,keep_krr_oracle,keep_krr_oracle,1,8,47,40,1,7,7,,7,0.0567960249741194,0.0567960249741194,0.0,5.925150319096725e-05,3359487.438815045,12212.090032317417,206105995.20079553,275.0952072843124,52438.38633417092,1.0232107198015767,,,
1,35,keep_random_A,keep_random_A_00,1,8,47,40,1,7,7,,7,0.0567960249741194,0.0567960249741194,0.0,5.925150319096725e-05,3359487.438815045,125570.02271661167,2119271511.3387117,26.753896878690444,168148.3741628952,1.0538401015127536,,,
1,35,keep_random_A,keep_random_A_01,1,8,47,40,1,7,7,,7,0.0567960249741194,0.0567960249741194,0.0,5.925150319096725e-05,3359487.438815045,101351.61272732995,1710532345.4946668,33.14685724689158,151065.165455533,1.076079681748767,,,
1,35,keep_random_A,keep_random_A_02,1,8,47,40,1,7,7,,7,0.0567960249741194,0.0567960249741194,0.0,5.925150319096725e-05,3359487.438815045,63800.16054599774,1076768640.6262167,52.656410423810286,119855.82850664476,1.0482480825127438,,,
1,35,keep_random_A,keep_random_A_03,1,8,47,40,1,7,7,,7,0.0567960249741194,0.0567960249741194,0.0,5.925150319096725e-05,3359487.438815045,3411.6814452113113,57579660.62422892,984.7013833986387,27716.822996069714,1.0080766925711997,,,
