Experiment 4: dx40 response-prefix repair

bank_size=80, min_base_ratio=5.0, select_top=80, seed=20260506
n_ctx=47, n_tgt=40, state_idx=1, basis_layer=8
alpha=0.05, n_build=16, n_eval=8

name         n   rankQ     rT     rhoTQ         MSE     MSE/KRR    repair    E(F,T)    damage
base        60   11.17   3.68   0.07076  6.0521e+05 1325374848.019       1.0 2343163.415     0.000
keep_Q      60   11.17   3.68   0.07076       37105 22020793.356 128080549.9 131531.608 2361712.428
keep_krr_oracle  60   11.17   3.68   0.07076      4180.4 5645085.543 139544827.4       nan       nan
keep_random_A 300   11.17   3.68   0.07076      3956.9 20066302.008 165385022.2       nan       nan
keep_response_svd  60   11.17   3.68   0.07076       40069 23978248.790 71696898.6       nan       nan
remove_Q    60   11.17   3.68   0.07076  3.8292e+05 1260408492.733 4915425.5 852214.770 2153620.593
zero_context  60   11.17   3.68   0.07076   0.0080252       1.619 582898253.0       nan       nan

Selected episodes:
sel  bank rankQ   rT   base/KRR   keep/KRR   zero/KRR   rand/KRR
  1    35     7    1 56698771472.3 340131535.589      5.909 1120771265.721
  2    59     8    4 4980837014.3  17558.404      0.535  17596.518
  3    70    10    1 3659344388.0 3524049.348      0.797 1656673.655
  4     5     3    2 2687677654.1      1.480      1.210      2.661
  5     1    12    1 1025129367.0 34714987.722      2.599 9811460.352
  6    28     0    0 1017969705.1      1.144      1.144      1.144
  7    27    23    4 1017323928.8 268104600.562      2.275 9236569.783
  8    45     3    2 1004977862.8      1.527      1.100      1.265
  9    79     1    1 949702725.5      1.488      1.009      1.327
 10    63     3    2 673576223.3      1.105      1.120      1.261
 11    11    26    3 574270621.7 448073742.944      1.454 45686432.926
 12    58     2    2 522399410.6      1.542      0.941   2414.346
 13    24     0    0 457273724.6      0.954      0.954      0.954
 14    36     0    0 366313545.5      0.904      0.904      0.904
 15    40     2    1 358663185.1    355.634      0.940      1.241
 16     2     2    2 332846483.6     36.327      1.242      1.380
 17     7     0    0 322530591.8      1.138      1.138      1.138
 18    76     0    0 306156506.4      1.006      1.006      1.006
 19    67    10    2 290108925.3 412117.859      1.204   1710.848
 20    14     4    1 248208330.5      0.986      1.039      1.199
 21    21     9    3 219917868.0 10699978.644      1.911   1552.017
 22    12     2    1 207412769.3      1.674      1.060      1.088
 23    74     1    1 205883106.4      0.935      1.118      1.427
 24    77     0    0 202726854.3      1.169      1.169      1.169
 25     8     0    0 192909639.5      1.741      1.741      1.741
 26    13     1    1 181238760.7      1.150      1.097      1.288
 27    52     0    0 172471661.4      1.377      1.377      1.377
 28    57    17    1 124051058.9 40607856.566      1.167     30.257
 29    71    18    5 123343142.9 9613499.974      1.820  20754.288
 30    39    34    1 104244605.2 109941157.687      1.848 11918729.385
 31    51    20    7 50449397.8 13457517.167      1.253     29.748
 32    34    29    4 39060314.8 15921023.635      2.195 1839613.718
 33    72     0    0 37743865.1      1.518      1.518      1.518
 34    18     0    0 32957711.0      1.317      1.317      1.317
 35     3    24    5 27849336.5 213135.419      1.823  31693.803
 36    37    22    3 26760652.9 3417000.585      1.021  16019.864
 37    68     1    1 23882151.2      1.224      0.943      1.035
 38    78     0    0 19150433.4      1.158      1.158      1.158
 39    42    36    2 13612711.4 14511705.065      1.461 872430.688
 40    23    29    3  7273002.3 3090101.991      1.542 457423.517
 41    73    33    7  4387112.7 3343626.181      1.428 1512494.880
 42    26    34    4  4236299.6 224137.215      2.791  11573.199
 43    75    11    8  2424179.8      2.076      1.075      1.185
 44    16    22    8  1388857.2     21.124      0.886    321.423
 45    20    32    6  1251919.3 1095334.325      2.300  95243.894
 46    69    28    6   624476.8     75.489      1.391   1387.662
 47    60    32    7   509863.9 132378.489      1.232  14644.555
 48    66    13    9   310568.6      1.245      1.546      1.690
 49    25    10   10   173671.7      1.096      2.416      1.890
 50    56     7    7    42274.9      1.397      7.294      2.446
 51    54    10   10    38434.1      0.968      1.118      1.098
 52    48    17   11    26144.2     24.509      1.535      4.001
 53    29    10   10    26104.6      1.062      1.460      1.220
 54    19     5    5    19817.5      0.932      1.495      1.417
 55    64     8    8     6072.2      1.723      1.895      1.887
 56    31     5    4     3076.6      1.029      1.119      1.005
 57    43     3    3     1053.8      1.611      4.396      3.100
 58    46    10   10      114.4      1.037      1.214      1.228
 59    15     9    9       87.9      1.175      1.946      1.326
 60    65    12   12       42.1      1.018      1.558      1.354
