selection_rank,bank_index,bank_batch_index,bank_batch_member,bank_batch_size,name,replicate,state_idx,basis_layer,certificate,sampling_mode,profile,tau_actual,log10_lambda1,gamma,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
1,0,0,0,1,base,base,1,8,certified,fixed_target_rich,minimal_step,8.290973663330078,0.8110215663909912,,47,40,29,34,44,34,40,0.04729954902446446,0.043012893650539404,1.0,0.11015704004840621,0.1892729306859378,0.1892729306859378,1.7182100263656848,1.0,0.10147700033378312,0.0,0.04262705232208421,0.042784864812738146,0.0
1,0,0,0,1,keep_Q,keep_Q,1,8,certified,fixed_target_rich,minimal_step,8.290973663330078,0.8110215663909912,,47,40,29,34,44,34,40,0.04729954902446446,0.043012893650539404,1.0,0.11015704004840621,0.1892729306859378,251191247.13105172,2280301349.969743,7.535012977072015e-10,7650.685234015107,7843.009824647025,548610.6425829388,548610.6426941768,548610.6403076266
1,0,0,0,1,remove_Q,remove_Q,1,8,certified,fixed_target_rich,minimal_step,8.290973663330078,0.8110215663909912,,47,40,29,34,44,34,40,0.04729954902446446,0.043012893650539404,1.0,0.11015704004840621,0.1892729306859378,0.840033375104848,7.625780201934555,0.2253159651690195,0.511589132448716,0.53942646855872,0.17696508388748516,0.17635851075115466,0.18584973303378774
1,0,0,0,1,zero_context,zero_context,1,8,certified,fixed_target_rich,minimal_step,8.290973663330078,0.8110215663909912,,47,40,29,34,44,34,40,0.04729954902446446,0.043012893650539404,1.0,0.11015704004840621,0.1892729306859378,3.289780621930985,29.86446095942084,0.05753360252175153,0.8226831343232985,0.813429660064315,,,
1,0,0,0,1,keep_response_svd,keep_response_svd,1,8,certified,fixed_target_rich,minimal_step,8.290973663330078,0.8110215663909912,,47,40,29,34,44,34,40,0.04729954902446446,0.043012893650539404,1.0,0.11015704004840621,0.1892729306859378,0.1961921016964409,1.7810219084520462,0.9647326729737121,0.1355685869278966,0.0713373986174483,,,
1,0,0,0,1,keep_krr_oracle,keep_krr_oracle,1,8,certified,fixed_target_rich,minimal_step,8.290973663330078,0.8110215663909912,,47,40,29,34,44,34,40,0.04729954902446446,0.043012893650539404,1.0,0.11015704004840621,0.1892729306859378,256789.12536023805,2331118.603471893,7.370753353375663e-07,244.5845799108447,250.73333389674136,,,
2,1,1,0,1,base,base,1,8,certified,fixed_target_rich,minimal_step,1.7953152656555176,-0.45126551389694214,,47,40,21,21,47,21,47,0.04595918851790764,7.004335573413648e-28,1.0,0.04480215235769157,0.056696334780298785,0.056696334780298785,1.2654823886059403,1.0,0.07869661586156453,0.0,0.08295798642007522,0.08803181887365842,0.0
2,1,1,0,1,keep_Q,keep_Q,1,8,certified,fixed_target_rich,minimal_step,1.7953152656555176,-0.45126551389694214,,47,40,21,21,47,21,47,0.04595918851790764,7.004335573413648e-28,1.0,0.04480215235769157,0.056696334780298785,0.03638510886368179,0.8121285909031835,1.5582290819223266,0.08830402729489066,0.1197489697697427,0.10746205266508468,0.09380990357334815,0.09466053679834695
2,1,1,0,1,remove_Q,remove_Q,1,8,certified,fixed_target_rich,minimal_step,1.7953152656555176,-0.45126551389694214,,47,40,21,21,47,21,47,0.04595918851790764,7.004335573413648e-28,1.0,0.04480215235769157,0.056696334780298785,0.192233796120842,4.290726806741006,0.29493427235166464,0.4591565743764387,0.4554379166777194,0.30312652435974935,0.30390385806315195,0.2763221604764214
2,1,1,0,1,zero_context,zero_context,1,8,certified,fixed_target_rich,minimal_step,1.7953152656555176,-0.45126551389694214,,47,40,21,21,47,21,47,0.04595918851790764,7.004335573413648e-28,1.0,0.04480215235769157,0.056696334780298785,0.5302745351374389,11.83591651811349,0.10691883359174315,0.7495174886142872,0.7493910985151772,,,
2,1,1,0,1,keep_response_svd,keep_response_svd,1,8,certified,fixed_target_rich,minimal_step,1.7953152656555176,-0.45126551389694214,,47,40,21,21,47,21,47,0.04595918851790764,7.004335573413648e-28,1.0,0.04480215235769157,0.056696334780298785,0.05518860678318964,1.231829362629158,1.027319551715308,0.1446479581262347,0.11512907196769503,,,
2,1,1,0,1,keep_krr_oracle,keep_krr_oracle,1,8,certified,fixed_target_rich,minimal_step,1.7953152656555176,-0.45126551389694214,,47,40,21,21,47,21,47,0.04595918851790764,7.004335573413648e-28,1.0,0.04480215235769157,0.056696334780298785,0.03638510886368179,0.8121285909031835,1.5582290819223266,0.08830402729489066,0.1197489697697427,,,
3,2,2,0,1,base,base,1,8,certified,fixed_target_rich,minimal_step,5.835660934448242,-0.19413000345230103,,47,40,28,28,47,28,47,0.041919570641251694,8.959176088590475e-28,1.0,0.17286833055389986,0.1946560089524805,0.1946560089524805,1.1260362631418328,1.0,0.0678632140812065,0.0,0.11445621198669587,0.1349573770338386,0.0
3,2,2,0,1,keep_Q,keep_Q,1,8,certified,fixed_target_rich,minimal_step,5.835660934448242,-0.19413000345230103,,47,40,28,28,47,28,47,0.041919570641251694,8.959176088590475e-28,1.0,0.17286833055389986,0.1946560089524805,0.22964532420451253,1.3284406893309457,0.8476375890811868,0.12244924850279738,0.11601711277798447,0.18846171445878412,0.18356961332496877,0.1686351354176976
3,2,2,0,1,remove_Q,remove_Q,1,8,certified,fixed_target_rich,minimal_step,5.835660934448242,-0.19413000345230103,,47,40,28,28,47,28,47,0.041919570641251694,8.959176088590475e-28,1.0,0.17286833055389986,0.1946560089524805,0.5040623588356938,2.915874511083617,0.38617445945002876,0.3284581747668698,0.3258022724072074,0.6128851906456015,0.6135438682103976,0.6042961357847856
