index,lambda
0,0.9083269131959836
1,0.0832691319598394
2,0.007633538362249412
3,0.0006997900249042817
4,6.415191169762912e-05
5,5.881003769700929e-06
6,5.391297690745187e-07
7,4.942369012135419e-08
8,4.530822237705805e-09
9,4.153544602078869e-10
10,3.8076828498646584e-11
11,3.4906254001925677e-12
12,3.199976626067766e-13
13,2.9334159714369365e-14
14,2.6908273204265052e-15
15,2.518098644973616e-16
16,2.441439758789043e-16
17,1.960432408560985e-16
18,1.7926572420183106e-16
19,1.733410210958806e-16
20,1.3800433242891122e-16
21,1.110284992166249e-16
22,1.0810437921497418e-16
23,1.008806960888208e-16
24,8.178271452989175e-17
25,6.771689333645461e-17
26,5.3582392021398946e-17
27,4.848942899907002e-17
28,4.324514152794668e-17
29,3.4197902634277236e-17
30,2.7011759781246863e-17
31,2.0237013895421536e-17
32,1.6396665115825287e-17
33,1.3277436264360795e-17
34,1.1042625704795669e-17
35,8.052973706238915e-18
36,5.54951010754224e-18
37,4.012906257182016e-18
38,1.6465267648027756e-18
39,1.1931823751392442e-18
40,1.0178190634777674e-18
41,7.71632876936295e-19
42,5.833966581925993e-19
43,3.5710027756930393e-19
44,2.796442146483477e-19
45,1.9097922356461784e-19
46,4.5635230753275556e-20
47,4.011531447744889e-20
48,2.4912712198179152e-20
49,1.578667257865011e-20
50,9.834760722042843e-21
51,4.284386804935211e-21
52,2.4891771134324987e-21
53,8.977316877249355e-22
54,6.817063006184975e-22
55,5.363382939480825e-22
56,8.541602430827267e-23
57,3.0340779524131636e-23
58,9.947125781037645e-24
59,3.1890507274225963e-24
60,1.1894711715586757e-24
61,8.605883637664847e-25
62,2.0810135275933805e-25
63,6.278108497034799e-26
64,2.200120531873613e-26
65,1.291451597913581e-26
66,3.1124540245733708e-27
67,2.860087062494955e-28
68,6.658366282331765e-29
69,2.642551587164047e-29
70,9.146864436039142e-30
71,5.0811780031622165e-30
72,1.7789304229570719e-31
73,5.499193762830507e-32
74,5.272276697015334e-32
75,4.0238877648979645e-32
76,3.556551685139792e-32
77,2.843793036873881e-32
78,2.168471028248593e-32
79,1.3046565929132726e-32
80,5.3270725374642965e-33
81,2.7180619410394495e-33
82,1.718477471403405e-33
83,9.843915112425188e-35
84,7.452519324318605e-37
85,9.949089834011864e-38
86,3.5806442682276224e-39
87,6.74855018368915e-41
88,2.427297872291592e-41
89,7.98132616544294e-45
90,2.3970765691350333e-47
91,2.5614879988225827e-50
92,1.193840943957201e-53
93,1.723814785194252e-55
94,1.5588818200093307e-57
95,1.7176713207494692e-60
96,8.721328871465601e-64
97,1.358232890069993e-65
98,1.2924872452913345e-67
99,3.37014036981885e-70
100,1.1254501322023174e-75
101,4.357588947476524e-78
102,1.2374709724641502e-80
103,1.3455652115502935e-82
104,7.20611203363381e-87
105,1.1982310138473424e-89
106,5.434035687290447e-96
107,6.002241483118748e-99
108,4.3235105186926584e-104
109,2.540791901462009e-107
110,3.189588920917783e-113
111,1.8329748720309705e-116
112,7.058184813398367e-121
113,5.407754729539119e-127
114,7.852814364326121e-131
115,5.4498322152898446e-135
116,3.556497766389348e-139
117,3.3834507378548937e-147
118,4.140721297875852e-158
119,1.257631331355577e-163
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
