rank,lambda,multi_index
1,0.6183166073422022,0 0 0 0 0
2,0.05668299201724645,0 0 1 0 0
3,0.05668299201724644,0 0 0 0 1
4,0.05668299201724644,0 0 0 1 0
5,0.056682992017246435,0 1 0 0 0
6,0.056682992017246435,1 0 0 0 0
7,0.005196304847508385,0 0 1 0 1
8,0.005196304847508385,0 0 1 1 0
9,0.005196304847508384,0 0 0 1 1
10,0.005196304847508384,0 1 0 0 1
11,0.005196304847508384,1 0 0 0 1
12,0.005196304847508384,1 1 0 0 0
13,0.0051963048475083835,0 1 0 1 0
14,0.0051963048475083835,0 1 1 0 0
15,0.0051963048475083835,1 0 0 1 0
16,0.0051963048475083835,1 0 1 0 0
17,0.005196304847508374,0 0 0 0 2
18,0.005196304847508374,0 0 0 2 0
19,0.005196304847508374,0 0 2 0 0
20,0.005196304847508374,0 2 0 0 0
21,0.005196304847508374,2 0 0 0 0
22,0.0004763613053457679,0 0 3 0 0
23,0.0004763613053457678,0 0 0 0 3
24,0.0004763613053457678,0 0 0 3 0
25,0.0004763613053457678,0 3 0 0 0
26,0.0004763613053457678,3 0 0 0 0
27,0.0004763613053457659,0 0 1 1 1
28,0.00047636130534576583,1 1 0 1 0
29,0.00047636130534576583,1 1 1 0 0
30,0.0004763613053457658,1 1 0 0 1
31,0.0004763613053457657,0 1 0 1 1
32,0.0004763613053457657,0 1 1 0 1
33,0.0004763613053457657,0 1 1 1 0
34,0.0004763613053457657,1 0 0 1 1
35,0.0004763613053457657,1 0 1 0 1
36,0.0004763613053457657,1 0 1 1 0
37,0.00047636130534576486,0 0 1 0 2
38,0.00047636130534576486,0 0 1 2 0
39,0.00047636130534576486,0 0 2 1 0
40,0.00047636130534576486,0 2 0 1 0
41,0.00047636130534576486,0 2 1 0 0
42,0.00047636130534576486,2 0 0 1 0
43,0.00047636130534576486,2 0 1 0 0
44,0.0004763613053457648,0 0 0 1 2
45,0.0004763613053457648,0 0 0 2 1
46,0.0004763613053457648,0 0 2 0 1
47,0.0004763613053457648,0 2 0 0 1
48,0.0004763613053457648,2 0 0 0 1
