n_ctx,n_tgt,cap,naive_risk_per_tgt,naive_signal_per_tgt,naive_rank,naive_rank_capped,corrected_kappa,corrected_risk_per_tgt,corrected_signal_per_tgt,corrected_rank,corrected_rank_capped,empirical_r_T,empirical_strict,empirical_risk_per_tgt,empirical_signal_per_tgt
47,64,47,0.052228638622833015,0.9477713613771714,27,27,0.17121911269243628,0.07121911269243626,0.9287808873075839,21,21,17.125,27.875,0.07584352616593046,0.9241564738340686
47,128,47,0.052228638622833015,0.9477713613771714,27,27,0.17121911269243628,0.07121911269243626,0.9287808873075839,21,21,18.28125,30.78125,0.07627288631599816,0.923727113684002
47,256,47,0.052228638622833015,0.9477713613771714,27,27,0.17121911269243628,0.07121911269243626,0.9287808873075839,21,21,18.84375,32.28125,0.07538895755950115,0.9246110424404992
96,64,64,0.03413705703515786,0.965862942964847,46,46,0.14215538941070024,0.042155389410700246,0.9578446105893182,39,39,20.5,35.84375,0.04470470962242082,0.9552952903775831
96,128,96,0.03413705703515786,0.965862942964847,46,46,0.14215538941070024,0.042155389410700246,0.9578446105893182,39,39,21.8125,43.59375,0.04542163303587764,0.9545783669641233
96,256,96,0.03413705703515786,0.965862942964847,46,46,0.14215538941070024,0.042155389410700246,0.9578446105893182,39,39,22.53125,46.625,0.04485059144608105,0.9551494085539205
128,64,64,0.02866466772605797,0.9713353322739463,49,49,0.13428376160786343,0.034283761607863415,0.9657162383921508,46,46,21.96875,38.8125,0.036383141181455955,0.9636168588185474
128,128,128,0.02866466772605797,0.9713353322739463,49,49,0.13428376160786343,0.034283761607863415,0.9657162383921508,46,46,25.09375,47.03125,0.037912780756907224,0.9620872192430954
128,256,128,0.02866466772605797,0.9713353322739463,49,49,0.13428376160786343,0.034283761607863415,0.9657162383921508,46,46,28.125,50.75,0.036744225060096586,0.9632557749399048
192,64,64,0.02232056329243998,0.9776794367075644,53,53,0.12572192158029252,0.025721921580292528,0.97427807841972,51,51,25.84375,41.125,0.02674417424993128,0.9732558257500665
192,128,128,0.02232056329243998,0.9776794367075644,53,53,0.12572192158029252,0.025721921580292528,0.97427807841972,51,51,31.53125,50.40625,0.02807667337258628,0.9719233266274176
192,256,192,0.02232056329243998,0.9776794367075644,53,53,0.12572192158029252,0.025721921580292528,0.97427807841972,51,51,36.625,54.03125,0.027104990102705895,0.9728950098972966
256,64,64,0.018630428096153107,0.9813695719038513,54,54,0.12100774781028731,0.021007747810287306,0.9789922521897236,53,53,28.96875,42.96875,0.022273837040819595,0.977726162959181
256,128,128,0.018630428096153107,0.9813695719038513,54,54,0.12100774781028731,0.021007747810287306,0.9789922521897236,53,53,36.5625,52.8125,0.02299916666254917,0.9770008333374514
256,256,256,0.018630428096153107,0.9813695719038513,54,54,0.12100774781028731,0.021007747810287306,0.9789922521897236,53,53,41.84375,55.71875,0.022852449959479926,0.9771475500405241
