exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,0,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,18,18,0.3829787234042553,0.6666666666666666,27,2.0,25.0,254,28.22222222222222,0.7489764823487342,0.0240211793958021,2.4004793132939968,0.037225220711787,0.1383473466576109,0.13659451836523942,0.981277791526462,0.9808600116728371,0.05609117366995247,0.0502207673928354,0.04184514126540484,0.028047831433805428,0.9998047638969415,0.8885866065122933,0.9999902863690774,0.8888599561260684,"[13, 4, 1, 0, 0, 0, 0, 0, 0]","[16, 34, 30, 29, 29, 29, 29, 29, 29]",0.03878053635721883,0.042067995297384864,0.9218536819516475,0.03336368948535984
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,1,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,20,20,0.425531914893617,0.7407407407407407,27,2.2222222222222223,22.77777777777778,239,26.555555555555557,0.8026682110889801,0.02610280573510999,2.6741485809066834,0.04208992957585336,0.16282871202996285,0.1593599278210868,0.9738983208593549,0.9734868105387164,0.06098658638463847,0.0531065590614653,0.02796073410114385,0.017571795028765602,0.999873801689105,0.8886376291592214,0.9999979420811802,0.8888808182577921,"[13, 7, 0, 0, 0, 0, 0, 0, 0]","[16, 34, 27, 27, 27, 27, 27, 27, 27]",0.07258916219384401,0.06574876366622442,1.1040384358000261,0.0499018587459831
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,2,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,19,19,0.40425531914893614,0.6551724137931034,29,2.111111111111111,23.333333333333332,245,27.22222222222222,0.7127916052445246,0.027905466600592954,2.7020394173211026,0.04751937150272348,0.19999071094052412,0.19991757013038353,0.9606407460038762,0.9600037155375837,0.05544195354890051,0.05058415245196204,0.045377450206923485,0.029146683513016698,0.9998642031240955,0.8886632517870013,0.9999913318853481,0.8888627213219442,"[14, 5, 0, 0, 0, 0, 0, 0, 0]","[16, 33, 28, 28, 28, 28, 28, 28, 28]",0.04865368189412633,0.044479311371627236,1.093849711107755,0.036324871159856796
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,3,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,24,24,0.5106382978723404,0.8571428571428571,28,2.6666666666666665,20.444444444444443,212,23.555555555555557,0.8147229347288867,0.031901757167213586,3.357122750396754,0.04792918177128502,0.12144673536963456,0.12806332248952496,0.9833488405235512,0.9852506904680874,0.056476278303622014,0.047630723778557,0.031204837997671958,0.018848111956386176,0.9999999999999966,0.8888351352776541,0.999999999999997,0.8888876337958421,"[15, 7, 1, 1, 0, 0, 0, 0, 0]","[16, 32, 25, 24, 23, 23, 23, 23, 23]",0.08210948042809058,0.08534950071069847,0.9620382046101207,0.07828332600807625
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,4,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,18,18,0.3829787234042553,0.6666666666666666,27,2.0,23.77777777777778,256,28.444444444444443,0.853086500524012,0.025584081424058103,2.4983703347656463,0.04318849066661007,0.17778040654228885,0.17724512087713215,0.968505554966323,0.9683941270497216,0.0616501221210291,0.053775118777333895,0.033171733802771226,0.025119801819355747,0.9998444231750969,0.888568415050188,0.9999850878043329,0.8888398651576531,"[10, 8, 0, 0, 0, 0, 0, 0, 0]","[16, 37, 29, 29, 29, 29, 29, 29, 29]",0.07140159168954685,0.06923624478034075,1.0312747595724738,0.03699816987432718
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,5,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,22,22,0.46808510638297873,0.7096774193548387,31,2.4444444444444446,21.333333333333332,223,24.77777777777778,0.9188368531681531,0.030785365106172524,3.2503365956371058,0.047947468998066595,0.1781702223409069,0.17725976609120395,0.9679609015313706,0.9682553718710553,0.07463685029506871,0.06834252141828759,0.032155814238612676,0.01920227407944037,0.9998574278778833,0.8886691842047983,0.9999994034362394,0.888887015887639,"[16, 5, 1, 0, 0, 0, 0, 0, 0]","[16, 31, 26, 25, 25, 25, 25, 25, 25]",0.04230312077678226,0.0432436363043735,0.9782507761148634,0.04948329290775551
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,6,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,24,24,0.5106382978723404,0.8888888888888888,27,2.6666666666666665,19.0,209,23.22222222222222,0.8086950971353801,0.03505153993508851,3.8162821671545633,0.039276987796120794,0.10388620008455673,0.10192380140712816,0.9894563059879008,0.989207657432013,0.046068296013826934,0.03810522298181835,0.026989370561834272,0.016351140726327745,0.9999999999999928,0.8888522654400792,0.9999999999999928,0.8888869079642814,"[15, 9, 0, 0, 0, 0, 0, 0, 0]","[16, 32, 23, 23, 23, 23, 23, 23, 23]",0.1276078104721507,0.11761497625012543,1.0849622602548,0.020101319033197868
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,7,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,19,19,0.40425531914893614,0.6551724137931034,29,2.111111111111111,23.666666666666668,245,27.22222222222222,0.46073477211140096,0.026791367583765716,2.53385368659119,0.029315945892982528,0.09455618956109983,0.09806260315213657,0.9904433016964237,0.9910591270157032,0.05257736283052317,0.047981855036273204,0.051743980046199525,0.03341881913345412,0.9998513461085222,0.8886535805833709,0.9999830495993511,0.8888550024188056,"[14, 5, 0, 0, 0, 0, 0, 0, 0]","[16, 33, 28, 28, 28, 28, 28, 28, 28]",0.030893557618880442,0.029041945193490522,1.0637564878334989,0.02974577892849544
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,8,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,17,17,0.3617021276595745,0.6296296296296297,27,1.8888888888888888,25.11111111111111,261,29.0,0.8386744540350866,0.026515058121435668,2.5066241063507344,0.03925492182302732,0.13985503378359568,0.14251778591542935,0.9792505689924001,0.9804405695254284,0.04583826331354437,0.04057910643862358,0.043998398496818136,0.029721237406865973,0.9998430361000478,0.8886765010567637,0.9999698522995201,0.8888469086002949,"[13, 3, 1, 0, 0, 0, 0, 0, 0]","[16, 34, 31, 30, 30, 30, 30, 30, 30]",0.057826805163623624,0.052014558886821285,1.1117426813029259,0.04820536075647145
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,9,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,14,14,0.2978723404255319,0.5185185185185185,27,1.5555555555555556,26.11111111111111,284,31.555555555555557,0.8701685200954542,0.027215866613561155,2.4151624594804724,0.03605657584199568,0.15692063418650168,0.1525115318639351,0.9764379762415821,0.9753759145665554,0.05947114710161656,0.05262473699047934,0.05277695988406876,0.03752630581560649,0.9996901295907997,0.8884482333363616,0.999890332634834,0.8887338311648624,"[11, 2, 1, 0, 0, 0, 0, 0, 0]","[16, 36, 34, 33, 33, 33, 33, 33, 33]",0.08596197973572557,0.08674035186157597,0.9910264126309684,0.035115144317298445
