checkpoint,episode,basis,rank,selected_rank,r_eff_T_task,kernel_lengthscale,kernel_signal_var,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res
rbf_elbow_nctx47_ntgt64,0,raw,0,19,27,3.0,1.0,0.03336368948535984,0.999999999999882,1.0125825805054545,0.03396124339384052,0.998318452614477,0.9999999999999998,0.998318452614477,0.9999999999999998,0.9999999999989984,0.9999999999989999,2.0032864256336325e-12,2.000177801164682e-12,-0.9994237618025423
rbf_elbow_nctx47_ntgt64,0,raw,1,19,27,3.0,1.0,0.03336368948535984,0.3013121145167334,0.31367846300316055,0.03396124339384052,0.49437567484503825,0.4956258104180392,0.998318452614477,0.9999999999999998,0.4952083912200882,0.49562581041754367,0.7547686492652121,0.754355056047953,-0.9976496243352406
rbf_elbow_nctx47_ntgt64,0,raw,2,19,27,3.0,1.0,0.03336368948535984,0.29487475779716305,0.30650006990597284,0.03396124339384052,0.4378340990338372,0.4399363691127111,0.998318452614477,0.9999999999999998,0.4385715779236208,0.43993636911227124,0.8076549710375854,0.8064559911323115,-0.9970175692543081
rbf_elbow_nctx47_ntgt64,0,raw,3,19,27,3.0,1.0,0.03336368948535984,0.23981825843593943,0.2514380883840002,0.03396124339384052,0.3867271745120323,0.3880372636991903,0.998318452614477,0.9999999999999998,0.3873785699331236,0.3880372636988023,0.8499378435565681,0.8494270819811461,-0.996162818987201
rbf_elbow_nctx47_ntgt64,0,raw,4,19,27,3.0,1.0,0.03336368948535984,0.24344339882552213,0.2556587935372874,0.03396124339384052,0.34248347432908066,0.3430776922103137,0.998318452614477,0.9999999999999998,0.34306034655756806,0.34307769220997064,0.8823095986198013,0.8822976971078806,-0.9950934967390429
rbf_elbow_nctx47_ntgt64,0,raw,5,19,27,3.0,1.0,0.03336368948535984,0.23002575502077954,0.2431142139344021,0.03396124339384052,0.26558931800310165,0.2638503895567934,0.998318452614477,0.9999999999999998,0.26603667127186603,0.2638503895565296,0.929224489538585,0.9303829719308676,-0.9917921633308026
rbf_elbow_nctx47_ntgt64,0,raw,6,19,27,3.0,1.0,0.03336368948535984,0.22471545221591577,0.2351151389090596,0.03396124339384052,0.18110029286640128,0.18103239058576215,0.998318452614477,0.9999999999999998,0.18140533453222246,0.18103239058558113,0.9670921046032525,0.9672272735588696,-0.9824102367642897
rbf_elbow_nctx47_ntgt64,0,raw,7,19,27,3.0,1.0,0.03336368948535984,0.08960433041415583,0.09897567085597045,0.03396124339384052,0.1765056798159534,0.17665054094286514,0.998318452614477,0.9999999999999998,0.17680298240859843,0.1766505409426885,0.9687407054114249,0.9687945863846555,-0.981504945717359
rbf_elbow_nctx47_ntgt64,0,raw,8,19,27,3.0,1.0,0.03336368948535984,0.06831230536234421,0.07363838062205838,0.03396124339384052,0.17460044425962876,0.1745729029593217,0.998318452614477,0.9999999999999998,0.17489453771208588,0.17457290295914715,0.9694119006784758,0.9695243015524162,-0.9810802799873379
rbf_elbow_nctx47_ntgt64,0,raw,9,19,27,3.0,1.0,0.03336368948535984,0.040441402797093816,0.05483744004623604,0.03396124339384052,0.16792673176847542,0.16897999681259293,0.998318452614477,0.9999999999999998,0.16820958415476256,0.16897999681242398,0.9717055357984818,0.9714457606772732,-0.9796968180004462
