exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,0,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,18,18,0.3829787234042553,0.6,30,2.0,23.666666666666668,253,28.11111111111111,0.9226285414239808,0.024577449729680526,2.547644615690523,0.038078580007823125,0.13209433530185766,0.13073890155452733,0.983547482842379,0.9825510865811953,0.07392302405012602,0.041530019001226215,0.04887378743795326,0.02375901734540435,0.9999742836886237,0.8886955198892308,0.9999975279370803,0.8888586200383778,"[13, 5, 0, 0, 0, 0, 0, 0, 0]","[16, 34, 29, 29, 29, 29, 29, 29, 29]",0.05660531456772734,0.055453895192954294,1.0207635436747344,0.01754608582320354
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,1,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,18,18,0.3829787234042553,0.5806451612903226,31,2.0,24.333333333333332,252,28.0,0.9599334109381628,0.027087649088486623,2.681676516627159,0.05564403987230071,0.20684539337515404,0.20315456831589093,0.9601018888682645,0.9572149832395633,0.0652397689155118,0.040647733751623324,0.027189094805340472,0.01160219796702748,0.9999480276838381,0.8887152786560328,0.9999988593765932,0.888882951628115,"[14, 4, 0, 0, 0, 0, 0, 0, 0]","[16, 33, 29, 29, 29, 29, 29, 29, 29]",0.07474971086692385,0.07882265714695483,0.9483277216544795,0.026614159026636698
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,2,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,20,20,0.425531914893617,0.6451612903225806,31,2.2222222222222223,23.555555555555557,242,26.88888888888889,0.8862565893600044,0.02523847219040894,2.7401939810320175,0.04659360421279353,0.16585774785929672,0.16215604583595994,0.9736657865360645,0.972491207475097,0.05720512286410743,0.031061070276358422,0.04207716155594671,0.01919092479283501,0.9999796509897486,0.8887635438321673,0.9999985087981734,0.8888547017914841,"[11, 8, 1, 0, 0, 0, 0, 0, 0]","[16, 36, 28, 27, 27, 27, 27, 27, 27]",0.06989163612184762,0.06456901235222716,1.082433098722113,0.04508697059172513
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,3,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,24,24,0.5106382978723404,0.7741935483870968,31,2.6666666666666665,19.555555555555557,208,23.11111111111111,0.9006686504034253,0.032123335086611346,3.7059061485658256,0.04827998844661074,0.1449421289592753,0.14392833097622448,0.9788211507577141,0.9789917792527948,0.06318109532714956,0.03639778495374658,0.025921774186065578,0.009161391435351086,0.9999999999999982,0.8888418656088036,0.9999999999999981,0.8888886661896775,"[16, 8, 0, 0, 0, 0, 0, 0, 0]","[16, 31, 23, 23, 23, 23, 23, 23, 23]",0.1076446304788021,0.10172852796023046,1.0581557861614244,0.05782215645290154
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,4,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,17,17,0.3617021276595745,0.53125,32,1.8888888888888888,24.666666666666668,261,29.0,0.9548853383507151,0.027363985995320205,2.8038737822000503,0.035134519576085856,0.15312050650966758,0.14895638906534234,0.9772161340741966,0.9765541104862697,0.06136634584313268,0.03280734267782618,0.037125405603386896,0.016776189929774955,0.9999649707988417,0.8887251132690613,0.9999946555477097,0.8888627889917484,"[13, 3, 1, 0, 0, 0, 0, 0, 0]","[16, 34, 31, 30, 30, 30, 30, 30, 30]",0.08315879883850756,0.07977620578185653,1.0424010270167592,0.040183529021439235
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,5,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,21,21,0.44680851063829785,0.6774193548387096,31,2.3333333333333335,21.333333333333332,231,25.666666666666668,0.8631878437976015,0.03044144931698943,3.269796283531081,0.035244319766054674,0.1566653483164639,0.15081509659043185,0.9773303964419099,0.9754559686369302,0.08011379361540061,0.043953123780221634,0.03890362688743929,0.015924040546561942,0.9999802867565365,0.8887630315908348,0.9999997171454225,0.8888836666887132,"[15, 5, 1, 0, 0, 0, 0, 0, 0]","[16, 32, 27, 26, 26, 26, 26, 26, 26]",0.04440392595366198,0.051074948772737425,0.8693875768968705,0.03617857554300664
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,6,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,26,26,0.5531914893617021,0.8125,32,2.888888888888889,18.333333333333332,195,21.666666666666668,0.7896211951808837,0.03778709590581231,4.402249831386607,0.028803231296259012,0.1091440763335996,0.11097033312914581,0.9878071292131335,0.9880875706013093,0.05679243389922683,0.03332836416513955,0.024983180541360346,0.008950804610361546,0.9999999999999979,0.8888337957605703,0.9999999999999983,0.8888869717652506,"[15, 11, 0, 0, 0, 0, 0, 0, 0]","[16, 32, 21, 21, 21, 21, 21, 21, 21]",0.13264475367978004,0.13496668266274503,0.9827962802585359,0.03751128012036539
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,7,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,21,21,0.44680851063829785,0.7,30,2.3333333333333335,22.22222222222222,232,25.77777777777778,0.9382981728513644,0.03443067827170385,3.674230896744239,0.03952323904631034,0.10161018683216547,0.1024811825203298,0.989074709534918,0.989675369931953,0.05751572214191269,0.030962406185172986,0.03029067262593552,0.013586753865684998,0.999989294770274,0.8887861245351388,0.9999991488320356,0.8888725500023865,"[13, 8, 0, 0, 0, 0, 0, 0, 0]","[16, 34, 26, 26, 26, 26, 26, 26, 26]",0.06366893654683722,0.06810788294510792,0.9348247778917413,0.08198991010134452
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,8,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,18,18,0.3829787234042553,0.6206896551724138,29,2.0,23.0,252,28.0,0.9424507608897008,0.026269761797070874,2.723097118370587,0.0452714551541579,0.19094678778137875,0.18239459761084556,0.9671438317956939,0.963539324236046,0.06392310240998424,0.03542190205950565,0.03211241246491188,0.013385644572932565,0.9999669019297384,0.8887261061393766,0.9999995605949598,0.8888819164424923,"[14, 4, 0, 0, 0, 0, 0, 0, 0]","[16, 33, 29, 29, 29, 29, 29, 29, 29]",0.06546379797830951,0.05942304663244818,1.1016567087720264,0.02482353031379153
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,rbf_elbow,47,5,128,8,4,9,task,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,23,23,0.48936170212765956,0.7419354838709677,31,2.5555555555555554,21.22222222222222,217,24.11111111111111,0.8328120627997023,0.032269656540137276,3.625285323976101,0.03850312043105166,0.11778590020710478,0.11470976648608046,0.9869060604192916,0.9861264817124297,0.06302693281651307,0.037480815353258284,0.022900698352774976,0.009366057845356499,0.9999963471042509,0.8888000378394838,0.9999999847384817,0.8888856457408054,"[15, 7, 1, 0, 0, 0, 0, 0, 0]","[16, 32, 25, 24, 24, 24, 24, 24, 24]",0.09434096951510411,0.09304536371836364,1.0139244530298372,0.02161165569765495
