exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,excess_risk_frac,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.05,0.95,0.001,8,0.05,0,0.0,13.0,1.0,16.0,1.0922866639662832,1.2821398170329559,279.95363086064714,0.9983165867699482,0.9604556569403541,0.2028821993655861,0.041029419080115176,"[274.1376473534531, 34.529798773722554, 30.965620821340583, 23.42389190828348, 20.440714321889907, 13.285047103615776, 6.324766707690968, 4.9853424550897545]",0.9277532895637646,0.14486220167169844,0.05020727117452959,2.1972997078300396,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 15]","[0.9277532895637646, 0.14827268880281008, 0.2270858196147193, 0.16281486159981137, 0.15966926030764894, 0.12055279157738306, 0.08536531377060555, 0.06514536335797005, 0.04789013671309792, 0.060433902507843196, 0.0549274142695022, 0.07064390527441522, 0.05020727117452959, 0.04404668530155127, 0.02855869690248609, 0.0644278260090369]"
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.05,0.95,0.001,8,0.05,0,1.0,4.0,28.0,34.0,2.6038750940580133,3.253376870718339,12.376059644192143,0.9999999999999936,0.9522430860948651,0.21853355327072438,4.1458625901187707e-13,"[4.476109969670087, 3.6895170604625127, 1.720142248049376, 1.4553322886723377, 0.5551814954233087, 0.43039075400295823, 0.3329518636535219, 0.27710780928357676]",0.1395598108037238,0.02366865373512155,0.052369414345523745,0.30599749985376246,"[0, 1, 4, 6]","[0.1395598108037238, 0.052369414345523745, 0.031105080870210446, 0.02383734936495405, 0.05813654541502161, 0.041838291666802245, 0.05593172928949328, 0.04172911669457595, 0.047409531816497597, 0.02962997583053516, 0.032736335949654416, 0.023010245211926773, 0.03079765888108343, 0.016176492612610612, 0.012927792241172825, 0.016151180162500216, 0.016482214519117182, 0.01301127614576139, 0.006098851245308773, 0.013553485642999276, 0.009363940293132538, 0.010190941984606494, 0.01391767840536744, 0.007950609166997871, 0.006215810857981883, 0.008966037581446356, 0.00523207052054142, 0.006831849283279952, 0.008119694082613515, 0.006366506328625182, 0.003307752654070952, 0.004286147538458791, 0.006337410448329073, 0.005155399139208476]"
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.05,0.95,0.001,8,0.05,0,2.0,1.0,27.0,30.0,4.984791473248603,6.483140843475324,9.042851196245646,0.9999999999999878,0.9563858393091496,0.2088400361301403,1.4578608357835938e-13,"[2.0842745371498643, 1.7354065577022006, 1.6029726803481688, 1.2019197417671537, 0.9460638311302271, 0.8565559084967996, 0.46505345427462047, 0.3815565613935266]",0.0512882707677409,0.015340877979742795,0.0512882707677409,0.0512882707677409,[0],"[0.0512882707677409, 0.021784140176235256, 0.022307500096522492, 0.038262031145749914, 0.022529960772458314, 0.035177664958571775, 0.016843354221306808, 0.02954153335365035, 0.01487890258373198, 0.021050996752782138, 0.012502807993817231, 0.0193733321312098, 0.018961542385653757, 0.015893522470635867, 0.009784318425564266, 0.007950602602984354, 0.01121870943136267, 0.007300625503914878, 0.012998450518182356, 0.00818021333026199, 0.00637990872830245, 0.005337705595591767, 0.006495549893367031, 0.007350856638053342, 0.009261048872191605, 0.007267087775342274, 0.004068544976260775, 0.0038286135093614205, 0.005864526914866472, 0.006544016866609543]"
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.05,0.95,0.001,8,0.05,0,3.0,0.0,27.0,29.0,5.784678520553259,7.729103363445371,8.73691024009295,0.999999999999987,0.9525950894909909,0.21772668763611897,1.5335509122264348e-13,"[2.3640957857868146, 1.8460171049363556, 1.7727503606741453, 1.4178716033305658, 1.4054019898736618, 0.8694244903704972, 0.7298953372928698, 0.6832688032982435]",0.028132127090762484,0.012494705454539906,0.0,0.0,[],"[0.025674531790326853, 0.028132127090762484, 0.026900161616998965, 0.017184359467321067, 0.026580047818870665, 0.020075491241722504, 0.01649049515190513, 0.013262007777790238, 0.015818976122025374, 0.009909872431537944, 0.012547594956307827, 0.01904187854642407, 0.01130112789345495, 0.009638991444253028, 0.010826558214077762, 0.010537741182779456, 0.00967209000841183, 0.006381313251053465, 0.0103858749358609, 0.004532781049503398, 0.005255842946349535, 0.011304121522078799, 0.004471516168033984, 0.006630814733481878, 0.0071241721832196, 0.009990389536031622, 0.00226255779845606, 0.006584421269266772, 0.0038286000333510885]"
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.05,0.95,0.001,8,0.05,0,4.0,0.0,28.0,29.0,7.137471546951056,9.320777219339824,9.2285334540853,0.9999999999999883,0.9650584923247074,0.18692647665668177,2.388637898798236e-13,"[2.5835842612900306, 2.1952300519733012, 1.9572063156405082, 1.7986922246174115, 1.7040045777304753, 1.26127885336052, 1.0655866553738271, 1.0074005977348544]",0.024182165424207522,0.009762427012442842,0.0,0.0,[],"[0.02287036071862467, 0.024182165424207522, 0.014958039339584343, 0.01285407031167005, 0.016668704811026617, 0.015958350518222687, 0.012371908774661267, 0.01072914279962751, 0.011858871435760485, 0.0062340508526014275, 0.015159812710346767, 0.007756068244057557, 0.007559823396647945, 0.008426317666369185, 0.007866973919227978, 0.008936755226330011, 0.009445561708499278, 0.00843723570243206, 0.006108778532536344, 0.0027828676637449033, 0.01022130829596698, 0.006888577903107685, 0.00473734194322821, 0.005053358167776445, 0.005158894563142209, 0.006383851770332029, 0.004658354955216293, 0.005576535525607138, 0.0032663004802868175]"
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.05,0.95,0.001,8,0.05,0,5.0,0.0,28.0,29.0,8.57197197299163,10.8512731876432,9.398188050919893,0.9999999999999888,0.9609836904013883,0.19752546569645255,1.7996814620844697e-13,"[2.688176122944223, 2.360397602927318, 2.0184211287655875, 2.004002587475514, 1.937843536699581, 1.6041896889471075, 1.4195668675475257, 1.3378035696672432]",0.018673231303998148,0.007368967381084369,0.0,0.0,[],"[0.018673231303998148, 0.018643611414374383, 0.01105358003040452, 0.010730418444733708, 0.00979441263930898, 0.012052077360103329, 0.007469885830701705, 0.010450447878813158, 0.007330582872615475, 0.005064202455104201, 0.010198458888127326, 0.006076332098775087, 0.006275537979853583, 0.006020985984068814, 0.006253436631303546, 0.0062169069716170216, 0.006390835199114867, 0.007617195438648427, 0.0069819165530785035, 0.003366935533571931, 0.0052574522552295755, 0.005232328851497984, 0.004476709918311918, 0.0038425741856445593, 0.0025563287977257865, 0.0042783593330123024, 0.004349238435355142, 0.004359454613926912, 0.0026866161524257783]"
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.05,0.95,0.001,8,0.05,0,6.0,0.0,28.0,29.0,9.417290795932535,11.859111241559681,9.818123357872041,0.9999999999999897,0.9614417317263885,0.19636259387572064,2.198876505757232e-13,"[2.8873258823501082, 2.385296848596257, 2.2961783762501446, 2.236639040396899, 2.083879577755582, 1.8009889307215114, 1.6613287369741045, 1.4149646309591641]",0.00999880682836034,0.0039388981256751505,0.0,0.0,[],"[0.009562341060588855, 0.00999880682836034, 0.009100624840473796, 0.007171594289237914, 0.005631402343599368, 0.005807813484486111, 0.004053365242485642, 0.006597789849298046, 0.003920163609610107, 0.003270815562065353, 0.0029420330972319145, 0.0037856759988916504, 0.004239613664518574, 0.0032739141623535075, 0.002875581454787357, 0.0031627461748038876, 0.0035792862719952684, 0.002518301302970338, 0.0025258450437320376, 0.0025676034861386705, 0.0018718793095803031, 0.0020153926867192223, 0.002644058918228628, 0.001971996532264246, 0.0019150986351112443, 0.0013502970006714916, 0.0024638048726441787, 0.0021086786327359046, 0.0013015212889954104]"
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.05,0.95,0.001,8,0.05,0,7.0,0.0,28.0,29.0,9.505305731594982,12.330754823137754,10.802030717381951,0.9999999999999915,0.9650471183328563,0.18695689788594363,6.784409053917853e-14,"[2.961859043060627, 2.529210811146076, 2.304936422626017, 2.153578204951164, 2.101037158929029, 1.8178608715213436, 1.5871559864032454, 1.382043435714709]",0.005366840937979765,0.0018455875195302251,0.0,0.0,[],"[0.0045149894314367636, 0.005366840937979765, 0.0031772310148813912, 0.003154857216164454, 0.002456739493720536, 0.0026587356838124986, 0.0020874742975014004, 0.0032672351700902334, 0.0022328638586257984, 0.001054672966542383, 0.0014944243251169271, 0.0018660240046912404, 0.0022092402097387952, 0.0013767352440229267, 0.0011865411646733257, 0.001660636427495907, 0.0023016080965318144, 0.0011047283468632468, 0.0010887884810742586, 0.0009453597734051691, 0.0011798391732213125, 0.0007222102005803437, 0.0009808347310399695, 0.0011393022234993664, 0.0011239408185815852, 0.0006988019434683894, 0.0010833527442287143, 0.0007536580014500872, 0.0006343720859379177]"
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.05,0.95,0.001,8,0.05,0,8.0,0.0,28.0,29.0,9.336886732451191,12.348518941829226,11.581192232541015,0.9999999999999926,0.9598242660043151,0.20043885350818932,1.2187622570001671e-13,"[2.977693375418112, 2.7581052013724707, 2.395840383306725, 2.1489464158609604, 2.0018014056197093, 1.8187096440652661, 1.535545893868411, 1.3608643134721665]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
rbf,rbf_elbow_scratch_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_scratch_seed42/checkpoint_final.pt,1,5,8,4,causal,seed,rbf,3.0,1.0,0.05,0.95,0.001,8,0.05,0,0.0,13.0,2.0,16.0,1.0520079570599763,1.1669137906887106,248.82878373832514,0.9975267605732651,0.9575572610776699,0.21168610557564627,0.04973167428043095,"[376.0448864390607, 40.01138545612308, 29.75068717794754, 24.978236697204583, 18.7691195372374, 8.920443265409384, 5.856717042485975, 4.159059627501748]",0.754574791160919,0.14643979460578121,0.05387644195368489,2.2236214062842983,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13]","[0.754574791160919, 0.17193951988371042, 0.2390995510251287, 0.256681689170349, 0.12378101451148855, 0.16583972387945065, 0.08127977377759746, 0.06085665409272442, 0.10976574122374445, 0.07367191479758889, 0.05387644195368489, 0.07318479700591438, 0.03878209402473267, 0.059069793801996874, 0.04767395761127607, 0.032959255772192754]"
