n_ctx,n_tgt,cap,r_T,r_T_over_cap,top_sval,tail_at_32,tail_at_48,tail_at_64,participation_rank,entropy_rank,episode
47.0,64.0,47.0,26.0,0.5531914893617021,6.531758460922824,0.004432931971839666,0.0,0.0,1.9281147950650876,3.302377417835189,0
47.0,64.0,47.0,28.0,0.5957446808510638,6.222965134532349,0.0051934972663879924,0.0,0.0,2.183245547936053,3.821125452497525,1
47.0,64.0,47.0,29.0,0.6170212765957447,6.364662964417579,0.005530770751421222,0.0,0.0,2.098452953275949,3.654018162658839,2
47.0,64.0,47.0,28.0,0.5957446808510638,6.332816624017348,0.005839756544100677,0.0,0.0,2.1307798352620164,3.7070999371930404,3
47.0,64.0,47.0,29.0,0.6170212765957447,6.125852346580402,0.0064459813414621085,0.0,0.0,2.3296195964573165,4.14781063322112,4
47.0,64.0,47.0,29.0,0.6170212765957447,6.306346931967885,0.005904361634313756,0.0,0.0,2.157379435109206,3.8092269093129643,5
47.0,64.0,47.0,27.0,0.574468085106383,6.374224592424532,0.00501436474422187,0.0,0.0,2.083345959416447,3.585281355228683,6
47.0,64.0,47.0,27.0,0.574468085106383,6.227550189180233,0.004982293065551889,0.0,0.0,2.205347312418185,3.866027504224258,7
47.0,64.0,47.0,27.0,0.574468085106383,6.327021289026406,0.004551079879332866,0.0,0.0,2.1076053322098267,3.6828596438934205,8
47.0,64.0,47.0,28.0,0.5957446808510638,6.251991306618908,0.0057080462628234995,0.0,0.0,2.199121817389573,3.850792842051626,9
47.0,64.0,47.0,29.0,0.6170212765957447,6.236511714547843,0.005919076863022065,0.0,0.0,2.251641972022337,3.9798020133251883,10
47.0,64.0,47.0,29.0,0.6170212765957447,6.264667681059249,0.006015909859353252,0.0,0.0,2.202979912410556,3.8709636055398278,11
47.0,64.0,47.0,30.0,0.6382978723404256,6.132092001742704,0.007382001569949723,0.0,0.0,2.3300878337908073,4.150181053525689,12
47.0,64.0,47.0,29.0,0.6170212765957447,6.233287350883764,0.00596618140228992,0.0,0.0,2.2266511131376703,3.9343361042580534,13
47.0,64.0,47.0,25.0,0.5319148936170213,6.413643672498005,0.004124698663908734,0.0,0.0,2.018441562397126,3.4586409111068557,14
47.0,64.0,47.0,30.0,0.6382978723404256,6.259905653310075,0.007221134601917587,0.0,0.0,2.193255231280327,3.903859449752399,15
47.0,64.0,47.0,28.0,0.5957446808510638,6.245221215057856,0.005277564990105553,0.0,0.0,2.194727202064622,3.8664131048474726,16
