n_ctx,n_tgt,episodes,cap,r_T_mean,r_T_std,r_T_p10,r_T_p90,r_T_over_cap_mean,r_T_over_cap_std,r_T_over_cap_p10,r_T_over_cap_p90,participation_rank_mean,participation_rank_std,participation_rank_p10,participation_rank_p90,entropy_rank_mean,entropy_rank_std,entropy_rank_p10,entropy_rank_p90,tail_at_32_mean,tail_at_32_std,tail_at_32_p10,tail_at_32_p90,tail_at_48_mean,tail_at_48_std,tail_at_48_p10,tail_at_48_p90,tail_at_64_mean,tail_at_64_std,tail_at_64_p10,tail_at_64_p90
47,64,32,47,27.875,1.237844119635477,26.0,29.0,0.5930851063829787,0.026337108928414395,0.5531914893617021,0.6170212765957447,2.164375369648916,0.10393452886743212,2.0230357860504142,2.2966557618016683,3.792941602410478,0.2210854349548794,3.4713049555190385,4.078979342270203,0.005439300942750538,0.0008449438708447871,0.0042907648381229355,0.006428885191188324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,128,32,47,30.78125,1.4532360996377438,29.0,32.900000000000006,0.6549202127659575,0.030919917013569012,0.6170212765957447,0.7000000000000001,2.17110825460072,0.06364990131312878,2.0903212872901613,2.2461147076052064,3.847557854625152,0.13851301910682948,3.668757176483591,4.032346397862743,0.00820718366454267,0.001489525647581428,0.006371179726846087,0.010177445197463669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,256,32,47,32.28125,1.3496564676409923,31.0,34.0,0.6868351063829787,0.028716095056191344,0.6595744680851063,0.723404255319149,2.1773195776117573,0.054668554689923994,2.111345131866816,2.2387093970822955,3.8916599666403666,0.12566616750513313,3.71982220486193,4.049864935548505,0.009781807118263139,0.001442946385593576,0.007928843246687045,0.011415813003908048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,64,32,64,35.84375,1.779985048867981,33.1,38.0,0.56005859375,0.027812266388562202,0.5171875,0.59375,2.2202539562590418,0.12681040701620822,2.0567150163487264,2.3972918526347553,4.024519292719287,0.2798450780533183,3.6706727824980683,4.388509232868369,0.01389311885682379,0.0022476874426771497,0.01097795860641402,0.016711067763676188,0.002148477026965501,0.00047989671614385006,0.0014928194349395978,0.0027277455881876116,0.0,0.0,0.0,0.0
96,128,32,96,43.59375,1.316382506426535,42.0,45.0,0.4541015625,0.013712317775276407,0.4375,0.46875,2.287577885983116,0.07318607237700427,2.2194776326564285,2.3682412592581676,4.252224418444694,0.16756196773448453,4.0836646145721565,4.462338096051149,0.02318958285437859,0.002262763807526233,0.021358128499187223,0.026340566083734158,0.006148393626898133,0.0008004686249832292,0.005446935517875324,0.007322865066600306,0.0008391589960056623,0.00014102397715288256,0.0006818169589197163,0.0010318313986106568
96,256,32,96,46.625,1.237844119635477,45.1,48.0,0.4856770833333333,0.012894209579536211,0.46979166666666666,0.5,2.27740215730316,0.05892024171566514,2.1909726247740946,2.353066901499594,4.262816621346435,0.1430420440979805,4.055602505159039,4.461698106546896,0.02759487216337711,0.0023510831457937125,0.02511821213768039,0.030772452066735366,0.00830329890418531,0.0009363003593012683,0.007485123682092985,0.009298976022473765,0.00133257483444563,0.00019817694792669145,0.0010899125376028795,0.001549632102320324
128,64,32,64,38.8125,1.5951033943634116,37.0,40.0,0.6064453125,0.024923490536928307,0.578125,0.625,2.3091216755766286,0.16107099201535807,2.1204289171319317,2.535858608697545,4.235574966791228,0.3485250956082914,3.829456842623198,4.7175328141819195,0.017866765500258223,0.0025713596178433573,0.014561577632046137,0.02156682717639681,0.0032047774193136314,0.0006179995204465021,0.002397267037350005,0.003965209177401691,0.0,0.0,0.0,0.0
128,128,32,128,47.03125,0.9666828882584055,46.0,48.0,0.367431640625,0.007552210064518793,0.359375,0.375,2.330686000010492,0.08633814925001523,2.2223261039138404,2.4513019049097364,4.388072089047265,0.19321655833409845,4.124602772684103,4.656502896355598,0.02861985871106517,0.0020014939894004197,0.0258934891880078,0.030825593739120742,0.008664827236308284,0.0007509683399866838,0.007741565134106045,0.0095101034670374,0.0014595722013121665,0.0001942022537539369,0.0011872902079461413,0.0016929321466132114
128,256,32,128,50.75,1.0472698761772856,49.0,52.0,0.396484375,0.008181795907635044,0.3828125,0.40625,2.323680653592191,0.06947836379456734,2.2426941317462914,2.3907170947897294,4.417678246041062,0.16535688511135876,4.204671470933385,4.618691166973199,0.035275864840324196,0.0026780288223207005,0.031853575857442154,0.037890186275301614,0.01252435183178819,0.001272259670824341,0.01069283837612812,0.01433870584527482,0.0024276157005736396,0.00031496399221810263,0.002041493113638017,0.0027596244619922106
192,64,32,64,41.125,1.3619246343602935,40.0,43.0,0.642578125,0.021280072411879587,0.625,0.671875,2.3060322343369393,0.11950542710969624,2.160731999396203,2.4256361862655873,4.281479623946016,0.26651275993081025,3.959062139352998,4.5715786334434325,0.021877766879577817,0.0023717529038525496,0.018858338659127737,0.02454277711894619,0.004279697726282164,0.0006371407109427309,0.00354367777155648,0.005123936832979095,0.0,0.0,0.0,0.0
