n_ctx,n_tgt,cap,r_T,r_T_strict,r_T_over_cap,r_T_strict_over_cap,rank_tau_task,krr_risk_total,krr_signal_total,krr_risk_per_tgt,krr_signal_per_tgt,krr_risk_over_signal,top_sval,tail_at_32,tail_at_48,tail_at_64,participation_rank,entropy_rank,episode
47.0,64.0,47.0,17.0,26.0,0.3617021276595745,0.5531914893617021,0.05742080453531536,3.959264755429296,60.04073524457052,0.06186351180358275,0.9381364881964144,0.06594297586965786,6.531758460922824,0.004432931971839666,0.0,0.0,1.9281147950650876,3.302377417835189,0
47.0,64.0,47.0,17.0,28.0,0.3617021276595745,0.5957446808510638,0.06907712651897419,5.575613760397641,58.42438623960231,0.08711896500621313,0.9128810349937861,0.09543298816236734,6.222965134532349,0.0051934972663879924,0.0,0.0,2.183245547936053,3.821125452497525,1
47.0,64.0,47.0,17.0,29.0,0.3617021276595745,0.6170212765957447,0.05941210933195001,4.22021237506598,59.779787624933924,0.06594081836040594,0.9340591816395926,0.07059597470543162,6.364662964417579,0.005530770751421222,0.0,0.0,2.098452953275949,3.654018162658839,2
47.0,64.0,47.0,17.0,28.0,0.3617021276595745,0.5957446808510638,0.060164333868375025,4.3204943165275,59.67950568347239,0.06750772369574219,0.9324922763042561,0.07239494139650596,6.332816624017348,0.005839756544100677,0.0,0.0,2.1307798352620164,3.7070999371930404,3
47.0,64.0,47.0,18.0,29.0,0.3829787234042553,0.6170212765957447,0.0672726706004742,5.3119840325322665,58.68801596746772,0.08299975050831666,0.9170002494916831,0.09051224419439814,6.125852346580402,0.0064459813414621085,0.0,0.0,2.3296195964573165,4.14781063322112,4
47.0,64.0,47.0,18.0,29.0,0.3829787234042553,0.6170212765957447,0.06118118184798453,4.457513686507337,59.54248631349289,0.06964865135167714,0.9303513486483264,0.07486274024632303,6.306346931967885,0.005904361634313756,0.0,0.0,2.157379435109206,3.8092269093129643,5
47.0,64.0,47.0,17.0,27.0,0.3617021276595745,0.574468085106383,0.05957765479797323,4.242202407342955,59.757797592657035,0.06628441261473367,0.9337155873852662,0.07098993902452924,6.374224592424532,0.00501436474422187,0.0,0.0,2.083345959416447,3.585281355228683,6
47.0,64.0,47.0,17.0,27.0,0.3617021276595745,0.574468085106383,0.06628794620678256,5.170081283063082,58.82991871693699,0.08078252004786066,0.9192174799521404,0.08788183624626597,6.227550189180233,0.004982293065551889,0.0,0.0,2.205347312418185,3.866027504224258,7
47.0,64.0,47.0,17.0,27.0,0.3617021276595745,0.574468085106383,0.06371360467828964,4.805879946715828,59.19412005328398,0.07509187416743482,0.9249081258325622,0.08118846842202743,6.327021289026406,0.004551079879332866,0.0,0.0,2.1076053322098267,3.6828596438934205,8
47.0,64.0,47.0,18.0,28.0,0.3829787234042553,0.5957446808510638,0.06329749494068566,4.7479528842974625,59.25204711570234,0.07418676381714785,0.925813236182849,0.08013145731532255,6.251991306618908,0.0057080462628234995,0.0,0.0,2.199121817389573,3.850792842051626,9
47.0,64.0,47.0,17.0,29.0,0.3617021276595745,0.6170212765957447,0.06009205591247866,4.310818561026012,59.689181438973975,0.06735654001603143,0.9326434599839684,0.07222110367576923,6.236511714547843,0.005919076863022065,0.0,0.0,2.251641972022337,3.9798020133251883,10
47.0,64.0,47.0,17.0,29.0,0.3617021276595745,0.6170212765957447,0.06123995170516358,4.465483659482282,59.53451634051798,0.06977318217941066,0.9302268178205935,0.07500663369701535,6.264667681059249,0.006015909859353252,0.0,0.0,2.202979912410556,3.8709636055398278,11
47.0,64.0,47.0,18.0,30.0,0.3829787234042553,0.6382978723404256,0.06643053022657527,5.1905409093558355,58.80945909064384,0.08110220170868493,0.91889779829131,0.08826030692367862,6.132092001742704,0.007382001569949723,0.0,0.0,2.3300878337908073,4.150181053525689,12
47.0,64.0,47.0,18.0,29.0,0.3829787234042553,0.6170212765957447,0.06319139328559994,4.733225039105008,59.26677496089463,0.07395664123601575,0.9260433587639786,0.07986304370750731,6.233287350883764,0.00596618140228992,0.0,0.0,2.2266511131376703,3.9343361042580534,13
47.0,64.0,47.0,16.0,25.0,0.3404255319148936,0.5319148936170213,0.06202962042564106,4.573106068012371,59.42689393198687,0.0714547823126933,0.9285452176872948,0.07695347620298212,6.413643672498005,0.004124698663908734,0.0,0.0,2.018441562397126,3.4586409111068557,14
47.0,64.0,47.0,18.0,30.0,0.3829787234042553,0.6382978723404256,0.0636653150446226,4.799143854092177,59.20085614590778,0.07498662272019027,0.925013377279809,0.08106544679462095,6.259905653310075,0.007221134601917587,0.0,0.0,2.193255231280327,3.903859449752399,15
47.0,64.0,47.0,17.0,28.0,0.3617021276595745,0.5957446808510638,0.06524713664646588,5.021640295383621,58.97835970461582,0.07846312961536908,0.9215368703846222,0.0851437768112518,6.245221215057856,0.005277564990105553,0.0,0.0,2.194727202064622,3.8664131048474726,16
47.0,64.0,47.0,18.0,29.0,0.3829787234042553,0.6170212765957447,0.06461510221429816,4.932285780551363,59.067714219448824,0.07706696532111505,0.9229330346788879,0.08350222868328397,6.204729975617747,0.005635524509499184,0.0,0.0,2.249522198463832,3.9746109788932347,17
47.0,64.0,47.0,16.0,27.0,0.3404255319148936,0.574468085106383,0.06938520107913604,5.62107986040638,58.378920139593966,0.08782937281884969,0.9121706271811557,0.09628612257584282,6.3203892354648294,0.004274968489932187,0.0,0.0,2.064383798930008,3.6130127032372767,18
47.0,64.0,47.0,16.0,28.0,0.3404255319148936,0.5957446808510638,0.06641706083327224,5.188606891890598,58.811393108109144,0.08107198268579059,0.9189280173142054,0.08822451939461172,6.286824840294509,0.005942771810915954,0.0,0.0,2.1293864670722757,3.717425305828404,19
47.0,64.0,47.0,17.0,28.0,0.3617021276595745,0.5957446808510638,0.07060851457099471,5.802904900754287,58.19709509924572,0.09067038907428573,0.9093296109257144,0.09971124659844743,6.1842235086381905,0.005063729418423682,0.0,0.0,2.216601396209572,3.8910905155325985,20
47.0,64.0,47.0,17.0,26.0,0.3617021276595745,0.5531914893617021,0.06270900392005593,4.666485036461535,59.33351496353849,0.07291382869471148,0.9270861713052889,0.07864838345291181,6.3425056816195475,0.004676924221710739,0.0,0.0,2.0955280232727955,3.6254935751729747,21
47.0,64.0,47.0,17.0,28.0,0.3617021276595745,0.5957446808510638,0.06229006742834564,4.60881807814752,59.39118192185287,0.072012782471055,0.9279872175289511,0.07760105000455693,6.349201989261353,0.005088038625164344,0.0,0.0,2.0958168075924393,3.683207543758534,22
47.0,64.0,47.0,17.0,27.0,0.3617021276595745,0.574468085106383,0.06678820503914136,5.2419947639318085,58.75800523606804,0.08190616818643451,0.9180938318135631,0.08921328664700773,6.238695968751097,0.0048509187123469,0.0,0.0,2.187899450052421,3.838395756016603,23
47.0,64.0,47.0,17.0,27.0,0.3617021276595745,0.574468085106383,0.06408414529082898,4.857686645762575,59.14231335423777,0.07590135384004024,0.9240986461599652,0.08213555355312156,6.274276527128226,0.004987730139971756,0.0,0.0,2.166541280293224,3.76776816288584,24
47.0,64.0,47.0,17.0,28.0,0.3617021276595745,0.5957446808510638,0.0692304878311557,5.598230609036198,58.40176939096344,0.0874723532661906,0.9125276467338037,0.09585720890679593,6.167813255628927,0.00588350595161047,0.0,0.0,2.2521590718313003,3.98298349493485,25
47.0,64.0,47.0,16.0,28.0,0.3404255319148936,0.5957446808510638,0.0686303899185491,5.509918265366956,58.490081734632696,0.08609247289635868,0.9139075271036359,0.09420260840744168,6.1003673108027865,0.005277163478885881,0.0,0.0,2.3463967916143726,4.140592212991402,26
47.0,64.0,47.0,17.0,29.0,0.3617021276595745,0.6170212765957447,0.06910658199255848,5.579955151582233,58.42004484841781,0.08718679924347239,0.9128132007565283,0.09551439349388413,6.133438502498943,0.0066976796786611635,0.0,0.0,2.3015998384650422,4.0896455475296865,27
47.0,64.0,47.0,17.0,26.0,0.3617021276595745,0.5531914893617021,0.05754973154062416,3.9759584210141696,60.02404157898603,0.0621243503283464,0.9378756496716567,0.06623943200795823,6.511108772214495,0.004131584779848373,0.0,0.0,1.9482313889069929,3.335213609418288,28
47.0,64.0,47.0,17.0,29.0,0.3617021276595745,0.6170212765957447,0.06734739010836864,5.322808649862221,58.67719135013776,0.0831688851540972,0.9168311148459025,0.09071341908817579,6.254272932930252,0.006275019838724262,0.0,0.0,2.1635110702111846,3.815486602795993,29
